"System Time Index","EDA Data","EDA Data Average","EDA Data Standard Deviation","EDA Data Derivation","EDA Data Derivation Average","EDA Data Derivation Standard Deviation","EDA Data Second Derviation","EDA Data Second Derivation Average","EDA Data Second Derivation Standard Deviation"
"1528652679393","1.0278314","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652679649","1.0290494","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652679992","1.0278314","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652680184","1.0266143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652680454","1.0253978","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652680661","1.0241821","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652680921","1.0229671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652680988","1.0217528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652681051","1.0229671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652681322","1.0217528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652681571","1.0205394","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652681655","1.0217528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652681800","1.0205394","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652682044","1.0193266","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652682316","1.0217528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652682461","1.0241821","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652682524","1.0253978","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652682649","1.0278314","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652682731","1.0266143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652682943","1.0253978","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652683047","1.0241821","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652683110","1.0229671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652683442","1.0217528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652683659","1.0193266","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652683869","1.0181146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652684182","1.0169033","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652684204","1.0156927","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652684355","1.014483","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652684596","1.0132738","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652685091","1.0120655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652685091","1.0108579","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652685239","1.0096511","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652685509","1.0084449","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652685655","1.0072396","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652685781","1.0060349","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652686058","1.004831","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652686595","1.0060349","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652686680","1.0072396","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652686911","1.0084449","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652687400","1.0096511","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652687492","1.0084449","1.0096511","0.0","0.0","1.0096511","0.0","0.0","1.0096511","0.0"
"1528652687588","1.0072396","1.0096511","0.0","-1.7493707E-6","0.0","0.0","1.4547193E-9","0.0","0.0"
"1528652687777","1.0060349","1.009627","2.351683E-4","-9.817201E-7","-1.7493706E-8","1.7059638E-7","1.8161733E-9","1.4547193E-11","1.4186237E-10"
"1528652687863","1.004831","1.0095911","3.5109263E-4","-3.2888582E-7","-2.713597E-8","9.5565134E-8","2.0551774E-9","3.2563455E-11","1.7626407E-10"
"1528652688051","1.0036277","1.0095435","4.655328E-4","-3.032576E-7","-3.015347E-8","3.093916E-8","2.0127848E-9","5.2789596E-11","1.9802873E-10"
"1528652688387","1.0024252","1.0094844","5.7878735E-4","-7.1673236E-7","-3.288451E-8","2.6811872E-8","1.6779736E-9","7.2389546E-11","1.9215933E-10"
"1528652689183","1.0036277","1.0094138","6.908366E-4","-1.3479712E-6","-3.972299E-8","6.674184E-8","1.2287247E-9","8.844539E-11","1.5774926E-10"
"1528652689268","1.004831","1.009356","5.6847866E-4","-6.6994653E-7","-5.2805472E-8","1.2775314E-7","1.2900808E-9","9.9848185E-11","1.1231194E-10"
"1528652689495","1.0072396","1.0093107","4.4492047E-4","-5.2963514E-7","-5.8976884E-8","6.152381E-8","1.2948015E-9","1.1175051E-10","1.1661207E-10"
