"System Time Index","EDA Data","EDA Data Average","EDA Data Standard Deviation","EDA Data Derivation","EDA Data Derivation Average","EDA Data Derivation Standard Deviation","EDA Data Second Derviation","EDA Data Second Derivation Average","EDA Data Second Derivation Standard Deviation"
"1528653321998","0.70755255","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322064","0.8255562","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322129","0.84541065","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322200","0.8520751","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322266","0.8531881","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322330","0.8487399","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322394","0.85541606","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322460","0.85764664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322531","0.86099744","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322596","0.8632345","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322730","0.873334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322774","0.87558556","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322796","0.8767123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322860","0.87445945","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322924","0.8789679","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322988","0.8857504","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323074","0.89142084","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323118","0.8925569","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323183","0.8948311","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323269","0.90166986","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323333","0.9119735","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323397","0.91312176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323461","0.91427064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323530","0.9188732","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323597","0.9211785","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323778","0.91657054","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323802","0.91312176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653323846","0.91427064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324017","0.91312176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324060","0.91657054","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324124","0.9200255","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324253","0.9188732","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324337","0.9119735","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324402","0.9200255","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324452","0.9292689","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324555","0.9385564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324598","0.9408852","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324701","0.94555116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324787","0.94321674","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324813","0.94555116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653324857","0.94671935","0.94555116","0.0","0.0","0.94555116","0.0","0.0","0.94555116","0.0"
"1528653324923","0.94905794","0.94555116","0.0","8.862299E-5","0.0","0.0","1.277352E-7","0.0","0.0"
"1528653324989","0.9502283","0.9455862","3.4197865E-4","9.0576395E-5","8.862299E-7","8.642401E-6","1.2624027E-7","1.277352E-9","1.24565736E-8"
"1528653325147","0.95374346","0.94563264","4.5397744E-4","8.795305E-5","1.7831316E-6","8.789064E-6","1.2024802E-7","2.526981E-9","1.2249722E-8"
