"System Time Index";"BVP Data"
"1530209344242";"-1.0"
"1530209344242";"-2.0"
"1530209344263";"-3.0"
"1530209344263";"-4.0"
"1530209344284";"-5.0"
"1530209344284";"-6.0"
"1530209344325";"-7.0"
"1530209344346";"-8.0"
"1530209344408";"-9.0"
"1530209344475";"-8.0"
"1530209344475";"-7.0"
"1530209344475";"-6.0"
"1530209344479";"-5.0"
"1530209344479";"-4.0"
"1530209344500";"-3.0"
"1530209344500";"-2.0"
"1530209344501";"-1.0"
"1530209344501";"0.0"
"1530209344501";"1.0"
"1530209344609";"2.0"
"1530209344650";"3.0"
"1530209344693";"4.0"
"1530209344797";"5.0"
"1530209344818";"4.0"
"1530209344818";"3.0"
"1530209344839";"2.0"
"1530209344839";"1.0"
"1530209344860";"0.0"
"1530209344881";"-1.0"
"1530209344922";"-2.0"
"1530209344922";"-3.0"
"1530209344922";"-4.0"
"1530209344943";"-5.0"
"1530209344964";"-6.0"
"1530209344985";"-7.0"
"1530209345006";"-8.0"
"1530209345006";"-9.0"
"1530209345027";"-10.0"
"1530209345028";"-11.0"
"1530209345116";"-12.0"
"1530209345152";"-13.0"
"1530209345174";"-12.0"
"1530209345237";"-11.0"
"1530209345237";"-12.0"
"1530209345321";"-13.0"
"1530209345363";"-14.0"
"1530209345364";"-13.0"
"1530209345385";"-12.0"
"1530209345385";"-11.0"
"1530209345385";"-10.0"
"1530209345385";"-9.0"
"1530209345406";"-8.0"
"1530209345406";"-7.0"
"1530209345406";"-6.0"
"1530209345406";"-4.0"
"1530209345406";"-3.0"
"1530209345406";"-2.0"
"1530209345406";"-1.0"
"1530209345407";"0.0"
"1530209345427";"1.0"
"1530209345427";"2.0"
"1530209345448";"4.0"
"1530209345448";"5.0"
"1530209345448";"6.0"
"1530209345448";"7.0"
"1530209345490";"8.0"
"1530209345553";"9.0"
"1530209345657";"10.0"
"1530209345678";"9.0"
"1530209345699";"8.0"
"1530209345699";"7.0"
"1530209345700";"6.0"
"1530209345700";"5.0"
"1530209345721";"4.0"
"1530209345721";"3.0"
"1530209345742";"2.0"
"1530209345743";"1.0"
"1530209345743";"0.0"
"1530209345764";"-1.0"
"1530209345764";"-2.0"
"1530209345785";"-3.0"
"1530209345785";"-4.0"
"1530209345785";"-5.0"
"1530209345806";"-6.0"
"1530209345806";"-7.0"
"1530209345827";"-8.0"
"1530209345827";"-9.0"
"1530209345848";"-10.0"
"1530209345869";"-11.0"
"1530209345870";"-12.0"
"1530209345891";"-13.0"
"1530209345932";"-14.0"
"1530209345933";"-15.0"
"1530209345954";"-16.0"
"1530209345996";"-17.0"
"1530209346017";"-18.0"
"1530209346106";"-17.0"
"1530209346126";"-16.0"
"1530209346147";"-15.0"
"1530209346169";"-14.0"
"1530209346170";"-13.0"
"1530209346232";"-12.0"
"1530209346253";"-11.0"
"1530209346253";"-10.0"
"1530209346253";"-9.0"
"1530209346274";"-8.0"
"1530209346274";"-7.0"
"1530209346274";"-6.0"
"1530209346274";"-5.0"
"1530209346274";"-4.0"
"1530209346275";"-2.0"
"1530209346275";"-1.0"
"1530209346295";"0.0"
"1530209346296";"2.0"
"1530209346296";"3.0"
"1530209346296";"4.0"
"1530209346297";"6.0"
"1530209346297";"7.0"
"1530209346320";"8.0"
"1530209346320";"10.0"
"1530209346320";"11.0"
"1530209346320";"12.0"
"1530209346320";"13.0"
"1530209346404";"14.0"
"1530209346487";"13.0"
"1530209346508";"12.0"
"1530209346508";"11.0"
"1530209346508";"10.0"
"1530209346508";"9.0"
"1530209346509";"8.0"
"1530209346529";"7.0"
"1530209346529";"6.0"
"1530209346529";"5.0"
"1530209346550";"4.0"
"1530209346550";"3.0"
"1530209346550";"2.0"
"1530209346550";"1.0"
"1530209346571";"0.0"
"1530209346592";"-1.0"
"1530209346592";"-2.0"
"1530209346613";"-3.0"
"1530209346634";"-4.0"
"1530209346675";"-5.0"
"1530209346717";"-6.0"
"1530209346758";"-7.0"
"1530209346779";"-8.0"
"1530209346821";"-9.0"
"1530209346842";"-10.0"
"1530209346953";"-11.0"
"1530209346974";"-10.0"
"1530209346995";"-11.0"
"1530209347016";"-10.0"
"1530209347036";"-9.0"
"1530209347037";"-8.0"
"1530209347037";"-7.0"
"1530209347058";"-6.0"
"1530209347079";"-5.0"
"1530209347079";"-4.0"
"1530209347079";"-3.0"
"1530209347079";"-2.0"
"1530209347079";"-1.0"
"1530209347079";"0.0"
"1530209347079";"1.0"
"1530209347100";"2.0"
"1530209347100";"3.0"
"1530209347101";"5.0"
"1530209347101";"6.0"
"1530209347101";"7.0"
"1530209347101";"9.0"
"1530209347101";"10.0"
"1530209347101";"11.0"
"1530209347101";"13.0"
"1530209347122";"14.0"
"1530209347123";"15.0"
"1530209347165";"16.0"
"1530209347228";"17.0"
"1530209347314";"18.0"
"1530209347314";"17.0"
"1530209347335";"16.0"
"1530209347335";"15.0"
"1530209347335";"14.0"
"1530209347335";"13.0"
"1530209347356";"12.0"
"1530209347357";"11.0"
"1530209347357";"10.0"
"1530209347357";"9.0"
"1530209347358";"8.0"
"1530209347378";"7.0"
"1530209347378";"6.0"
"1530209347379";"5.0"
"1530209347399";"4.0"
"1530209347420";"3.0"
"1530209347422";"2.0"
"1530209347422";"1.0"
"1530209347443";"0.0"
"1530209347464";"-1.0"
"1530209347485";"-2.0"
"1530209347506";"-3.0"
"1530209347527";"-4.0"
"1530209347550";"-5.0"
"1530209347571";"-6.0"
"1530209347571";"-7.0"
"1530209347613";"-8.0"
"1530209347633";"-9.0"
"1530209347634";"-10.0"
"1530209347676";"-11.0"
"1530209347697";"-12.0"
"1530209347718";"-13.0"
"1530209347887";"-12.0"
"1530209347889";"-11.0"
"1530209347910";"-10.0"
"1530209347910";"-9.0"
"1530209347910";"-8.0"
"1530209347910";"-7.0"
"1530209347910";"-6.0"
"1530209347911";"-5.0"
"1530209347931";"-4.0"
"1530209347932";"-2.0"
"1530209347932";"-1.0"
"1530209347932";"0.0"
"1530209347952";"1.0"
"1530209347953";"2.0"
"1530209347953";"4.0"
"1530209347953";"5.0"
"1530209347954";"7.0"
"1530209347954";"8.0"
"1530209347955";"10.0"
"1530209347955";"12.0"
"1530209347955";"13.0"
"1530209347975";"15.0"
"1530209347976";"16.0"
"1530209347976";"18.0"
"1530209347997";"19.0"
"1530209348081";"20.0"
"1530209348124";"21.0"
"1530209348187";"22.0"
"1530209348188";"21.0"
"1530209348188";"20.0"
"1530209348188";"19.0"
"1530209348188";"18.0"
"1530209348209";"17.0"
"1530209348209";"16.0"
"1530209348209";"15.0"
"1530209348209";"14.0"
"1530209348210";"13.0"
"1530209348210";"12.0"
"1530209348210";"11.0"
"1530209348210";"10.0"
"1530209348232";"9.0"
"1530209348232";"8.0"
"1530209348232";"7.0"
"1530209348253";"6.0"
"1530209348253";"5.0"
"1530209348253";"4.0"
"1530209348253";"3.0"
"1530209348274";"2.0"
"1530209348274";"1.0"
"1530209348274";"0.0"
"1530209348275";"-1.0"
"1530209348295";"-2.0"
"1530209348316";"-3.0"
"1530209348317";"-4.0"
"1530209348338";"-5.0"
"1530209348360";"-6.0"
"1530209348381";"-7.0"
"1530209348401";"-8.0"
"1530209348423";"-9.0"
"1530209348466";"-10.0"
"1530209348508";"-11.0"
"1530209348556";"-12.0"
"1530209348705";"-13.0"
"1530209348746";"-12.0"
"1530209348748";"-11.0"
"1530209348768";"-10.0"
"1530209348769";"-9.0"
"1530209348769";"-8.0"
"1530209348769";"-7.0"
"1530209348790";"-6.0"
"1530209348790";"-5.0"
"1530209348790";"-4.0"
"1530209348790";"-3.0"
"1530209348790";"-1.0"
"1530209348790";"0.0"
"1530209348811";"1.0"
"1530209348812";"3.0"
"1530209348812";"4.0"
"1530209348812";"5.0"
"1530209348813";"6.0"
"1530209348834";"8.0"
"1530209348834";"9.0"
"1530209348834";"10.0"
"1530209348834";"11.0"
"1530209348834";"12.0"
"1530209348834";"13.0"
"1530209348835";"15.0"
"1530209348835";"16.0"
"1530209348855";"17.0"
"1530209348856";"18.0"
"1530209348856";"19.0"
"1530209348856";"20.0"
"1530209348856";"21.0"
"1530209348856";"22.0"
"1530209348918";"23.0"
"1530209349002";"22.0"
"1530209349003";"21.0"
"1530209349003";"20.0"
"1530209349003";"19.0"
"1530209349024";"18.0"
"1530209349025";"17.0"
"1530209349025";"16.0"
"1530209349025";"15.0"
"1530209349046";"14.0"
"1530209349046";"13.0"
"1530209349046";"12.0"
"1530209349047";"11.0"
"1530209349067";"10.0"
"1530209349090";"9.0"
"1530209349091";"8.0"
"1530209349111";"7.0"
"1530209349112";"6.0"
"1530209349112";"5.0"
"1530209349112";"4.0"
"1530209349133";"3.0"
"1530209349133";"2.0"
"1530209349133";"1.0"
"1530209349133";"0.0"
"1530209349154";"-1.0"
"1530209349154";"-2.0"
"1530209349154";"-3.0"
"1530209349175";"-4.0"
"1530209349176";"-5.0"
"1530209349197";"-6.0"
"1530209349218";"-7.0"
"1530209349239";"-8.0"
"1530209349260";"-9.0"
"1530209349260";"-10.0"
"1530209349281";"-11.0"
"1530209349303";"-12.0"
"1530209349326";"-13.0"
"1530209349348";"-14.0"
"1530209349371";"-15.0"
"1530209349435";"-16.0"
"1530209349477";"-15.0"
"1530209349561";"-14.0"
"1530209349582";"-13.0"
"1530209349582";"-12.0"
"1530209349602";"-11.0"
"1530209349603";"-10.0"
