"System Time Index";"Temperature Data";"Temperature Data Average";"Temperature Data Standard Deviation"
"1530209828108";"32.451714";"0.0";"0.0"
"1530209828181";"32.428753";"0.0";"0.0"
"1530209828505";"32.451714";"0.0";"0.0"
"1530209828976";"32.428753";"0.0";"0.0"
"1530209829040";"32.451714";"0.0";"0.0"
"1530209829642";"32.428753";"0.0";"0.0"
"1530209829704";"32.451714";"0.0";"0.0"
"1530209830110";"32.47468";"0.0";"0.0"
"1530209830240";"32.428753";"0.0";"0.0"
"1530209830263";"32.47468";"0.0";"0.0"
"1530209830307";"32.451714";"0.0";"0.0"
"1530209830648";"32.47468";"0.0";"0.0"
"1530209830776";"32.451714";"0.0";"0.0"
"1530209830988";"32.47468";"0.0";"0.0"
"1530209831032";"32.451714";"0.0";"0.0"
"1530209832198";"32.47468";"0.0";"0.0"
"1530209832241";"32.451714";"0.0";"0.0"
"1530209832306";"32.47468";"0.0";"0.0"
"1530209832371";"32.451714";"0.0";"0.0"
"1530209832435";"32.47468";"0.0";"0.0"
"1530209832519";"32.451714";"0.0";"0.0"
"1530209832653";"32.47468";"0.0";"0.0"
"1530209832849";"32.451714";"0.0";"0.0"
"1530209832913";"32.47468";"0.0";"0.0"
"1530209832978";"32.451714";"0.0";"0.0"
"1530209833204";"32.47468";"32.451714";"0.0"
"1530209833315";"32.451714";"32.451714";"0.0"
"1530209833445";"32.47468";"32.451714";"0.0"
"1530209833509";"32.451714";"32.451942";"0.0022399174"
"1530209833574";"32.47468";"32.45194";"2.2508622E-4"
"1530209833639";"32.451714";"32.452168";"0.0022178616"
"1530209833703";"32.47468";"32.452164";"2.2617499E-4"
"1530209833915";"32.451714";"32.45239";"0.0021960696"
"1530209834048";"32.47468";"32.45238";"2.2924088E-4"
"1530209834111";"32.451714";"32.452602";"0.0021750312"
"1530209834218";"32.47468";"32.452595";"2.3418374E-4"
"1530209834437";"32.451714";"32.452816";"0.0021539952"
"1530209834500";"32.497658";"32.452805";"2.407204E-4"
"1530209834586";"32.47468";"32.453255";"0.004373936"
"1530209834718";"32.497658";"32.45347";"0.002134899"
"1530209834850";"32.47468";"32.45391";"0.0043145237"
"1530209834912";"32.497658";"32.454117";"0.0020711701"
"1530209835103";"32.451714";"32.45455";"0.0042511593"
"1530209835258";"32.47468";"32.454525";"5.0736323E-4"
"1530209835511";"32.451714";"32.454727";"0.0019662657"
"1530209835711";"32.47468";"32.454697";"3.5356387E-4"
"1530209835777";"32.497658";"32.454895";"0.0019493982"
"1530209835842";"32.47468";"32.455322";"0.0041747605"
"1530209835906";"32.451714";"32.455517";"0.0019334379"
"1530209836054";"32.47468";"32.45548";"4.182483E-4"
"1530209836256";"32.497658";"32.45567";"0.0018732648"
"1530209836257";"32.47468";"32.45609";"0.004098961"
"1530209836708";"32.451714";"32.456276";"0.0018588091"
"1530209836773";"32.497658";"32.45623";"4.8217186E-4"
"1530209836903";"32.47468";"32.456646";"0.0040401053"
"1530209837051";"32.451714";"32.456825";"0.0018047441"
"1530209837179";"32.47468";"32.456776";"5.3029147E-4"
"1530209837265";"32.451714";"32.456955";"0.001746971"
"1530209837307";"32.47468";"32.4569";"5.400715E-4"
"1530209837437";"32.497658";"32.45708";"0.0017346069"
"1530209837565";"32.47468";"32.457485";"0.00396095"
"1530209837716";"32.497658";"32.457657";"0.0017231677"
"1530209837845";"32.47468";"32.458057";"0.0039045897"
"1530209837976";"32.497658";"32.458225";"0.0016673992"
"1530209838107";"32.47468";"32.45862";"0.0038491616"
"1530209838384";"32.497658";"32.45878";"0.0016131476"
"1530209838515";"32.47468";"32.459167";"0.003794869"
"1530209838708";"32.497658";"32.459324";"0.0015596885"
"1530209838772";"32.47468";"32.459705";"0.0037417084"
"1530209838837";"32.497658";"32.459854";"0.0015077526"
"1530209838921";"32.47468";"32.46023";"0.003689683"
"1530209839049";"32.497658";"32.460377";"0.0014566131"
"1530209839271";"32.47468";"32.46075";"0.0036384144"
"1530209839315";"32.451714";"32.46089";"0.0014062631"
"1530209839379";"32.47468";"32.4608";"9.0604485E-4"
"1530209839446";"32.497658";"32.460938";"0.0013568989"
"1530209839575";"32.47468";"32.461304";"0.003583582"
"1530209839641";"32.497658";"32.461437";"0.0013529675"
"1530209839918";"32.47468";"32.4618";"0.003534753"
"1530209839982";"32.497658";"32.46193";"0.0013049574"
"1530209840586";"32.47468";"32.462288";"0.0034865083"
"1530209840651";"32.497658";"32.46241";"0.0012581012"
"1530209840716";"32.47468";"32.46276";"0.0034397724"
"1530209840778";"32.497658";"32.46288";"0.001212426"
"1530209840989";"32.47468";"32.463226";"0.0033937942"
"1530209841053";"32.497658";"32.46334";"0.0011675535"
"1530209841117";"32.47468";"32.463684";"0.0033485726"
"1530209841202";"32.497658";"32.463795";"0.0011234876"
"1530209841575";"32.47468";"32.464134";"0.003304107"
"1530209841663";"32.497658";"32.46424";"0.0010802326"
"1530209841706";"32.451714";"32.464577";"0.003260398"
"1530209841771";"32.47468";"32.464447";"0.0012959762"
"1530209841834";"32.451714";"32.46455";"0.0010064031"
"1530209841983";"32.47468";"32.46442";"0.0012557027"
"1530209842048";"32.451714";"32.464523";"0.0010085022"
"1530209842392";"32.428753";"32.464394";"0.0012530978"
"1530209842456";"32.451714";"32.46404";"0.0034780568"
"1530209842652";"32.428753";"32.463917";"0.0012513687"
"1530209842717";"32.451714";"32.463566";"0.0034314867"
"1530209842847";"32.428753";"32.463448";"0.0012057057"
"1530209843110";"32.405796";"32.4631";"0.003385509"
"1530209843707";"32.382843";"32.46253";"0.005598578"
"1530209843790";"32.405796";"32.46173";"0.0077909003"
"1530209843854";"32.382843";"32.46117";"0.0055099204"
"1530209843919";"32.405796";"32.46039";"0.007658337"
"1530209843982";"32.382843";"32.459843";"0.005378597"
"1530209844045";"32.405796";"32.459072";"0.007528091"
"1530209844569";"32.428753";"32.458538";"0.005249544"
"1530209844657";"32.382843";"32.45824";"0.0029516965"
"1530209844720";"32.405796";"32.457485";"0.007358458"
"1530209844913";"32.428753";"32.45697";"0.0050942726"
"1530209844978";"32.382843";"32.456688";"0.0027984635"
"1530209845062";"32.405796";"32.455948";"0.0072065387"
"1530209845458";"32.382843";"32.45545";"0.0049437257"
"1530209845501";"32.405796";"32.454723";"0.0070977216"
"1530209845992";"32.382843";"32.454235";"0.0048239282"
"1530209846120";"32.405796";"32.45352";"0.0069788108"
"1530209846233";"32.382843";"32.453045";"0.00470622"
"1530209846255";"32.405796";"32.452343";"0.0068621654"
"1530209846385";"32.382843";"32.451878";"0.0045907814"
"1530209846449";"32.405796";"32.451187";"0.006747787"
"1530209846521";"32.382843";"32.450733";"0.004477613"
"1530209846924";"32.359898";"32.450054";"0.006635675"
"1530209847244";"32.336956";"32.449154";"0.008817085"
"1530209847311";"32.31402";"32.448032";"0.010976907"
"1530209847523";"32.29109";"32.446693";"0.0131150205"
"1530209847716";"32.26816";"32.445137";"0.015230968"
"1530209847846";"32.29109";"32.443367";"0.017325452"
"1530209847914";"32.26816";"32.441845";"0.01495084"
"1530209848111";"32.29109";"32.44011";"0.017003331"
"1530209848796";"32.31402";"32.438618";"0.014631355"
"1530209848839";"32.29109";"32.43737";"0.012238416"
"1530209848992";"32.31402";"32.43591";"0.01431783"
"1530209849583";"32.29109";"32.43469";"0.011972401"
"1530209849647";"32.31402";"32.433254";"0.014054984"
"1530209849780";"32.336956";"32.43206";"0.011712218"
"1530209850315";"32.359898";"32.43111";"0.009348218"
"1530209850401";"32.336956";"32.430397";"0.0070070955"
"1530209850512";"32.31402";"32.429462";"0.009139131"
"1530209850598";"32.336956";"32.428307";"0.011294865"
"1530209850708";"32.359898";"32.427395";"0.008979882"
"1530209850928";"32.336956";"32.42672";"0.006643195"
"1530209850994";"32.359898";"32.425823";"0.008778923"
"1530209851058";"32.336956";"32.425163";"0.006488575"
"1530209851123";"32.359898";"32.424282";"0.008626381"
"1530209851284";"32.336956";"32.423637";"0.0063375905"
"1530209851309";"32.359898";"32.42277";"0.008476866"
"1530209851851";"32.336956";"32.422142";"0.00618963"
"1530209851979";"32.359898";"32.42129";"0.008330373"
