"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1527443045037","31.879251","0.0","0.0"
"1527443045243","31.85642","0.0","0.0"
"1527443045453","31.879251","0.0","0.0"
"1527443045642","31.85642","0.0","0.0"
"1527443045705","31.879251","0.0","0.0"
"1527443045979","31.85642","0.0","0.0"
"1527443046043","31.879251","0.0","0.0"
"1527443046105","31.85642","0.0","0.0"
"1527443046188","31.879251","0.0","0.0"
"1527443048038","31.85642","0.0","0.0"
"1527443048100","31.879251","0.0","0.0"
"1527443048424","31.85642","0.0","0.0"
"1527443048468","31.879251","0.0","0.0"
"1527443048868","31.85642","0.0","0.0"
"1527443048910","31.879251","0.0","0.0"
"1527443048993","31.85642","0.0","0.0"
"1527443049036","31.879251","0.0","0.0"
"1527443049163","31.85642","0.0","0.0"
"1527443049248","31.879251","0.0","0.0"
"1527443049332","31.85642","0.0","0.0"
"1527443049455","31.879251","0.0","0.0"
"1527443049498","31.85642","0.0","0.0"
"1527443049580","31.879251","0.0","0.0"
"1527443049644","31.85642","0.0","0.0"
"1527443049834","31.879251","0.0","0.0"
"1527443051036","31.85642","31.879251","0.0"
"1527443051121","31.879251","31.94787","0.056687705"
"1527443051248","31.833597","31.947184","0.008769953"
"1527443051332","31.85642","31.951563","0.053803872"
"1527443051527","31.879251","31.962181","0.055313293"
"1527443051550","31.85642","31.961351","0.009797837"
"1527443051600","31.879251","31.960302","0.010279551"
"1527443051643","31.85642","31.965334","0.05696903"
"1527443051790","31.879251","31.975546","0.05622011"
"1527443051857","31.85642","31.980043","0.053261794"
"1527443052073","31.879251","31.989817","0.052577317"
"1527443052481","31.85642","31.999523","0.05161631"
"1527443052502","31.879251","31.998093","0.014879216"
"1527443052588","31.85642","31.996904","0.011684377"
"1527443052654","31.879251","31.995499","0.013749456"
"1527443052994","31.85642","31.99937","0.049096443"
"1527443053122","31.879251","32.00317","0.050993916"
"1527443053187","31.85642","32.00193","0.013116194"
"1527443053347","31.879251","32.005447","0.04850551"
"1527443053440","31.85642","32.00935","0.050381128"
"1527443053464","31.879251","32.00782","0.015741441"
"1527443053508","31.85642","32.011444","0.04791054"
"1527443053658","31.879251","32.015003","0.04983212"
"1527443053722","31.85642","32.013645","0.014145125"
"1527443053852","31.879251","32.02242","0.049349632"
"1527443053917","31.85642","32.02099","0.014808134"
"1527443054050","31.879251","32.029545","0.04864417"
"1527443054122","31.85642","32.02804","0.015442567"
"1527443054254","31.833597","32.031498","0.05047404"
"1527443054404","31.879251","32.034428","0.047935024"
"1527443054451","31.833597","32.032875","0.01587357"
"1527443054642","31.85642","32.035553","0.0455608"
"1527443054793","31.879251","32.047993","0.046774406"
"1527443054838","31.833597","32.046307","0.01710742"
"1527443054945","31.85642","32.048714","0.044271633"
"1527443054969","31.879251","32.04679","0.019267729"
"1527443055273","31.85642","32.049873","0.04640121"
"1527443055520","31.833597","32.052437","0.043898944"
"1527443055584","31.810778","32.05495","0.045923613"
"1527443055710","31.833597","32.05251","0.02425028"
"1527443055775","31.810778","32.05032","0.021485273"
"1527443055904","31.787964","32.047924","0.023458406"
"1527443055987","31.765154","32.045326","0.025459463"
"1527443056261","31.742352","32.05227","0.046394937"
"1527443056468","31.719553","32.04917","0.030576942"
"1527443056531","31.742352","32.045876","0.032289103"
"1527443056575","31.719553","32.047386","0.04445327"
"1527443056660","31.742352","32.048874","0.04658245"
"1527443056849","31.719553","32.050323","0.044167835"
"1527443057062","31.696758","32.056213","0.043729745"
"1527443057189","31.673971","32.05262","0.035325423"
"1527443057251","31.696758","32.048832","0.037093785"
"1527443057347","31.673971","32.050064","0.04648171"
"1527443057453","31.696758","32.050816","0.044170618"
"1527443057582","31.651188","32.061108","0.045475923"
"1527443057924","31.62841","32.057007","0.040232528"
"1527443057980","31.651188","32.05272","0.0419892"
"1527443058351","31.605637","32.048702","0.039381146"
"1527443058534","31.582869","32.053528","0.046226032"
"1527443058706","31.605637","32.04882","0.04613021"
"1527443058904","31.582869","32.044388","0.043464135"
"1527443058989","31.605637","32.04435","0.0448809"
"1527443059052","31.582869","32.039963","0.043017525"
"1527443059116","31.560106","32.039787","0.043072183"
"1527443059179","31.582869","32.03962","0.045362387"
"1527443059450","31.560106","32.049248","0.046650164"
"1527443059516","31.582869","32.044357","0.047928117"
"1527443059581","31.560106","32.03974","0.045258194"
"1527443059666","31.53735","32.034946","0.04699199"
"1527443059708","31.560106","32.029972","0.04875216"
"1527443059792","31.53735","32.025272","0.046079233"
"1527443059979","31.514597","32.03058","0.04854391"
"1527443060192","31.49185","32.0355","0.048057023"
"1527443060397","31.514597","32.030064","0.053233437"
"1527443060715","31.469109","32.048973","0.044447664"
"1527443060778","31.49185","32.043175","0.05672209"
"1527443060928","31.469109","32.042492","0.047408406"
"1527443060991","31.49185","32.041367","0.045295354"
"1527443061074","31.469109","32.03587","0.053779073"
"1527443061137","31.49185","32.0302","0.055530734"
"1527443061201","31.469109","32.029778","0.048638903"
"1527443061459","31.446371","32.03382","0.048178162"
"1527443061840","31.42364","32.03798","0.04781233"
"1527443062102","31.378191","32.031837","0.06010029"
"1527443062231","31.355474","32.03539","0.048069578"
"1527443062435","31.332762","32.02859","0.06647854"
"1527443062458","31.310055","32.021633","0.068181284"
"1527443062526","31.332762","32.01452","0.0697265"
"1527443062660","31.310055","32.027912","0.04876259"
"1527443062746","31.332762","32.020733","0.07017409"
"1527443062792","31.310055","32.013855","0.06745624"
"1527443062990","31.355474","32.02162","0.047155716"
"1527443063248","31.378191","32.024796","0.046843544"
"1527443063416","31.355474","32.01833","0.063229814"
"1527443063464","31.378191","32.0117","0.06494916"
"1527443063603","31.400913","32.02067","0.051733527"
"1527443063713","31.42364","32.019535","0.049731795"
"1527443063937","31.400913","32.02389","0.04920707"
"1527443064067","31.42364","32.017662","0.060951028"
"1527443064135","31.400913","32.011723","0.058248185"
"1527443064461","31.42364","32.015636","0.04997897"
"1527443064546","31.400913","32.009716","0.057946697"
"1527443064657","31.42364","32.003628","0.059651766"
"1527443064784","31.469109","31.997828","0.056873392"
"1527443065046","31.49185","32.002823","0.05124661"
"1527443065197","31.514597","32.002712","0.049010653"
"1527443065371","31.49185","32.00306","0.05120746"
"1527443065479","31.53735","31.997948","0.05011484"
"1527443065689","31.560106","32.009457","0.05286542"
"1527443065713","31.53735","32.01012","0.05048118"
"1527443065781","31.560106","32.005394","0.046379667"
"1527443066090","31.53735","32.011513","0.050431043"
"1527443066156","31.560106","32.00677","0.046513967"
"1527443066603","31.53735","32.02318","0.049276803"
"1527443066736","31.560106","32.023113","0.046986483"
"1527443066866","31.582869","32.028244","0.04649982"
"1527443066930","31.560106","32.028755","0.048648752"
"1527443066995","31.605637","32.0288","0.046412278"
"1527443067125","31.582869","32.03421","0.045908805"
"1527443067285","31.605637","32.034607","0.048079927"
"1527443067440","31.582869","32.030315","0.042107854"
"1527443067493","31.605637","32.02584","0.043837126"
"1527443067601","31.582869","32.021637","0.04121141"
"1527443067667","31.605637","32.01725","0.042986214"
"1527443067755","31.62841","32.013134","0.04036954"
"1527443067800","31.605637","32.009285","0.037734147"
"1527443067865","31.62841","32.00525","0.039543774"
"1527443067929","31.605637","32.00148","0.03696092"
"1527443068598","31.651188","32.018585","0.04973154"
"1527443068858","31.62841","32.029476","0.04637802"
"1527443069048","31.651188","32.03042","0.04844878"
"1527443069178","31.62841","32.026627","0.037298124"
"1527443069404","31.651188","32.032326","0.048324656"
"1527443069488","31.62841","32.028515","0.037480958"
"1527443069489","31.651188","32.024513","0.039197236"
"1527443069531","31.62841","32.02078","0.03661648"
"1527443069659","31.651188","32.016853","0.0384379"
"1527443070123","31.62841","32.038532","0.052241478"
"1527443070187","31.651188","32.039295","0.047585275"
"1527443070450","31.673971","32.040497","0.049706213"
"1527443070472","31.651188","32.046688","0.049177937"
"1527443070534","31.673971","32.047512","0.04676654"
"1527443070792","31.651188","32.043777","0.036726285"
"1527443070854","31.696758","32.039852","0.038460642"
"1527443070920","31.651188","32.036423","0.033678554"
"1527443070983","31.673971","32.03257","0.037718218"
"1527443071193","31.696758","32.028984","0.035172928"
"1527443071431","31.673971","32.035282","0.048031494"
"1527443071539","31.696758","32.03633","0.04558133"
"1527443071878","31.673971","32.03781","0.04767752"
"1527443071921","31.696758","32.034172","0.03580004"
"1527443072048","31.673971","32.040318","0.047533017"
"1527443072134","31.696758","32.041264","0.045100775"
"1527443072461","31.673971","32.04265","0.047205593"
"1527443072526","31.696758","32.04355","0.0448782"
"1527443072804","31.673971","32.049416","0.04440285"
"1527443072869","31.696758","32.05041","0.046465654"
"1527443072940","31.673971","32.046875","0.034799423"
"1527443072983","31.696758","32.043144","0.03653106"
"1527443073260","31.719553","32.048794","0.046672802"
"1527443073410","31.696758","32.0455","0.03244463"
"1527443073665","31.719553","32.064575","0.042902917"
"1527443073728","31.696758","32.061127","0.033918723"
"1527443073792","31.742352","32.062115","0.045307044"
"1527443073854","31.696758","32.058918","0.03151041"
"1527443074063","31.673971","32.055298","0.035457786"
"1527443074125","31.696758","32.051483","0.037355013"
"1527443074270","31.719553","32.057114","0.045870304"
"1527443074395","31.696758","32.058178","0.043417815"
"1527443074522","31.719553","32.058765","0.04112295"
"1527443074563","31.696758","32.055374","0.033334274"
"1527443074646","31.719553","32.056248","0.043622237"
"1527443074935","31.742352","32.066544","0.04493771"
"1527443074997","31.696758","32.067413","0.040244367"
"1527443075060","31.742352","32.068047","0.04247431"
"1527443075273","31.719553","32.069347","0.044569116"
"1527443075403","31.742352","32.06994","0.040016867"
"1527443075530","31.719553","32.079693","0.04361482"
"1527443075594","31.742352","32.080307","0.041262668"
"1527443075677","31.719553","32.076927","0.033214264"
"1527443075804","31.742352","32.077827","0.04375872"
"1527443076055","31.719553","32.087036","0.038429227"
"1527443076159","31.742352","32.091835","0.04020348"
"1527443076180","31.719553","32.08834","0.034317546"
"1527443076263","31.742352","32.084652","0.036126982"
"1527443076529","31.719553","32.094055","0.042213827"
"1527443076592","31.742352","32.09031","0.036764033"
"1527443076865","31.719553","32.103474","0.04128132"
"1527443076949","31.742352","32.103615","0.038997047"
"1527443077201","31.719553","32.112267","0.040410742"
"1527443077264","31.742352","32.112236","0.038160298"
"1527443077386","31.719553","32.112656","0.040351104"
"1527443077471","31.742352","32.1167","0.039971657"
"1527443077660","31.719553","32.116573","0.035465684"
"1527443077868","31.742352","32.12404","0.039224174"
"1527443077931","31.719553","32.123764","0.03476876"
"1527443077994","31.742352","32.1235","0.03706769"
"1527443078287","31.719553","32.127438","0.036678992"
"1527443078330","31.742352","32.12336","0.03994523"
"1527443078478","31.719553","32.123558","0.03929193"
"1527443078521","31.742352","32.11952","0.03959353"
"1527443078606","31.719553","32.115746","0.036993206"
"1527443078668","31.742352","32.11541","0.03560184"
"1527443078794","31.719553","32.119587","0.03745611"
