"System Time Index","EDA Data","EDA Data Average","EDA Data Standard Deviation","EDA Data Derivation","EDA Data Derivation Average","EDA Data Derivation Standard Deviation","EDA Data Second Derviation","EDA Data Second Derivation Average","EDA Data Second Derivation Standard Deviation"
"1527443045653","0.733484","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443045864","0.7355744","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046020","0.74081063","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046062","0.74921954","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046127","0.75449455","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046192","0.7619048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046254","0.7725422","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046425","0.7853876","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046447","0.7918434","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046469","0.7950797","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046532","0.7961597","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046594","0.79832155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046656","0.7994034","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046718","0.8004859","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046865","0.80156904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443046990","0.8026528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443047137","0.8037371","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443047199","0.8059077","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443047263","0.80699396","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443047455","0.8059077","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1527443047477","0.8080808","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
