"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1528653734986","27.978302","0.0","0.0"
"1528653735061","28.000353","0.0","0.0"
"1528653735190","27.978302","0.0","0.0"
"1528653735278","28.000353","0.0","0.0"
"1528653735403","27.978302","0.0","0.0"
"1528653735465","28.000353","0.0","0.0"
"1528653735887","28.022406","0.0","0.0"
"1528653735930","28.000353","0.0","0.0"
"1528653736525","27.978302","0.0","0.0"
"1528653736588","28.000353","0.0","0.0"
"1528653736791","27.978302","0.0","0.0"
"1528653736875","28.000353","0.0","0.0"
"1528653736939","28.022406","0.0","0.0"
"1528653737003","27.978302","0.0","0.0"
"1528653737279","28.000353","0.0","0.0"
"1528653737406","27.978302","0.0","0.0"
"1528653737938","27.956257","0.0","0.0"
"1528653738001","27.978302","0.0","0.0"
"1528653738403","27.956257","0.0","0.0"
"1528653738466","27.978302","0.0","0.0"
"1528653738530","27.956257","0.0","0.0"
"1528653738672","27.978302","0.0","0.0"
"1528653738865","27.956257","0.0","0.0"
"1528653738949","27.978302","0.0","0.0"
"1528653739076","27.956257","0.0","0.0"
"1528653739119","27.978302","27.956257","0.0"
"1528653739457","28.000353","27.956257","0.0"
"1528653739541","27.978302","27.956697","0.0043002204"
"1528653739607","28.000353","27.956913","0.002150334"
"1528653739868","27.978302","27.957348","0.004241607"
"1528653739932","28.000353","27.957558","0.0020869526"
"1528653740403","27.978302","27.957985","0.0041786153"
"1528653740465","28.000353","27.958189","0.002024792"
"1528653740927","28.022406","27.95861","0.0041167582"
"1528653741635","28.044464","27.959248","0.0062349094"
"1528653742457","28.066525","27.9601","0.008333521"
"1528653742566","28.044464","27.961164","0.010411763"
"1528653742631","28.066525","27.961998","0.008189676"
"1528653742775","28.044464","27.963043","0.010226143"
"1528653742844","28.08859","27.963858","0.008005621"
"1528653742866","28.066525","27.965105","0.012190108"
"1528653743015","28.08859","27.96612","0.0099650845"
"1528653743142","28.066525","27.967344","0.011984721"
"1528653743205","28.08859","27.968336","0.009745896"
"1528653743595","28.110659","27.969538","0.011767584"
"1528653743809","28.08859","27.97095","0.0138121275"
"1528653743874","28.110659","27.972126","0.01155505"
"1528653743936","28.08859","27.97351","0.01355891"
"1528653744063","28.110659","27.97466","0.01130412"
"1528653744276","28.08859","27.97602","0.01331042"
"1528653744330","28.110659","27.977146","0.011058099"
"1528653744414","28.08859","27.978481","0.01306684"
"1528653744458","28.110659","27.979582","0.010816989"
"1528653744549","28.132732","27.980892","0.012828171"
"1528653744718","28.110659","27.98241","0.014862742"
"1528653744741","28.132732","27.983692","0.012594678"
"1528653745061","28.154808","27.985182","0.014588754"
"1528653745145","28.132732","27.986877","0.016606001"
"1528653745208","28.154808","27.988337","0.014320141"
"1528653745272","28.132732","27.990002","0.016297083"
"1528653745398","28.154808","27.991428","0.014014059"
"1528653745929","28.132732","27.993063","0.015994012"
"1528653745993","28.154808","27.99446","0.013714018"
"1528653746078","28.132732","27.996063","0.015696982"
"1528653746205","28.154808","27.99743","0.013419834"
"1528653746533","28.17689","27.999004","0.015405809"
"1528653746656","28.154808","28.000784","0.017415328"
"1528653746718","28.17689","28.002325","0.015120772"
"1528653746740","28.154808","28.00407","0.017090356"
"1528653746802","28.17689","28.005577","0.014798825"
"1528653747013","28.154808","28.00729","0.016771609"
"1528653747075","28.17689","28.008764","0.014483295"
"1528653747414","28.154808","28.010445","0.016459282"
"1528653747541","28.17689","28.011889","0.014174001"
"1528653747930","28.154808","28.013538","0.016153"
"1528653748137","28.17689","28.014952","0.01387075"
"1528653748344","28.154808","28.016571","0.01585276"
"1528653748405","28.17689","28.017954","0.013573541"
"1528653748615","28.154808","28.019543","0.015558565"
"1528653748763","28.17689","28.020895","0.013282376"
"1528653748873","28.198973","28.022455","0.015270226"
"1528653748937","28.243155","28.02422","0.017281443"
"1528653749002","28.309454","28.02641","0.02142006"
"1528653749066","28.397907","28.02924","0.02768515"
"1528653749150","28.46429","28.032927","0.036058407"
"1528653749216","28.552855","28.037241","0.042220253"
"1528653749280","28.663652","28.042397","0.050458975"
"1528653749343","28.77455","28.048609","0.060793877"
"1528653749405","28.86334","28.055868","0.07105337"
"1528653749467","28.974422","28.063942","0.07906367"
"1528653749551","29.041122","28.073048","0.08914013"
"1528653749668","29.130114","28.08273","0.09482523"
"1528653749737","29.263725","28.093203","0.102578856"
"1528653749758","29.33059","28.104908","0.11460784"
"1528653749800","29.419802","28.117165","0.12007509"
"1528653749883","29.509083","28.130192","0.12759766"
"1528653749944","29.57609","28.14398","0.13507178"
"1528653750008","29.643135","28.1583","0.14030924"
"1528653750072","29.732592","28.17315","0.14547734"
"1528653750135","29.79973","28.188744","0.15276907"
"1528653750200","29.844513","28.204853","0.15784243"
"1528653750286","29.93413","28.22125","0.16067463"
"1528653750352","30.00139","28.238379","0.16780885"
"1528653750417","30.046253","28.256008","0.17274372"
"1528653750482","30.11358","28.27391","0.17543495"
"1528653750547","30.18095","28.292307","0.18025805"
"1528653750651","30.203417","28.311193","0.18505806"
"1528653750717","30.270842","28.330116","0.18545277"
"1528653750742","30.293325","28.349524","0.1901635"
"1528653750810","30.338308","28.368961","0.19050856"
"1528653750874","30.405817","28.388655","0.1929908"
"1528653750960","30.450846","28.408827","0.19765547"
"1528653751004","30.495893","28.429247","0.20011361"
"1528653751141","30.54096","28.449913","0.20252782"
"1528653751207","30.586048","28.470823","0.20491955"
"1528653751291","30.608597","28.491976","0.20728937"
"1528653751335","30.631153","28.513142","0.20744845"
"1528653751425","30.676277","28.53432","0.20758502"
"1528653751469","30.72142","28.55574","0.2099098"
"1528653751554","30.743998","28.577396","0.212235"
"1528653751618","30.766582","28.599062","0.2123475"
"1528653751704","30.811764","28.620737","0.21243778"
"1528653751794","30.856964","28.642647","0.21471965"
"1528653751817","30.902185","28.66479","0.21700238"
"1528653751880","30.947426","28.687162","0.21926455"
"1528653752006","31.015322","28.709764","0.22150595"
"1528653752069","31.037964","28.73282","0.22592343"
"1528653752132","31.060612","28.755873","0.22592698"
"1528653752222","31.10592","28.77892","0.22588795"
"1528653752287","31.128582","28.802189","0.22804774"
"1528653752374","31.151249","28.825453","0.22801016"
"1528653752420","31.17392","28.848711","0.22795184"
"1528653752488","31.196596","28.871964","0.22789425"
"1528653752573","31.219278","28.89521","0.22783777"
"1528653752725","31.241964","28.918451","0.22778243"
"1528653752747","31.264656","28.941687","0.22772804"
"1528653752815","31.287354","28.964916","0.22767478"
"1528653752887","31.264656","28.98814","0.22762266"
"1528653752963","31.287354","29.010906","0.2231667"
"1528653753006","31.310055","29.03367","0.22311515"
"1528653753211","31.332762","29.056435","0.22310846"
"1528653753278","31.310055","29.079199","0.2231028"
"1528653753343","31.355474","29.101507","0.21869123"
"1528653753413","31.332762","29.124046","0.2208893"
"1528653753479","31.355474","29.146133","0.21652079"
"1528653753545","31.378191","29.168226","0.2165374"
"1528653753704","31.355474","29.190327","0.21659796"
"1528653753750","31.378191","29.211979","0.21225043"
"1528653753814","31.355474","29.23364","0.21230988"
"1528653753940","31.332762","29.25486","0.20800479"
"1528653754486","31.310055","29.275639","0.20369916"
"1528653754550","31.332762","29.295982","0.1994367"
"1528653754636","31.310055","29.31635","0.1996228"
"1528653754731","31.287354","29.336288","0.19544552"
"1528653754949","31.264656","29.355799","0.1912666"
"1528653755015","31.287354","29.374887","0.18712935"
"1528653755131","31.264656","29.394012","0.18743765"
"1528653755353","31.241964","29.41272","0.1833831"
"1528653755487","31.219278","29.431013","0.17932563"
"1528653755751","31.196596","29.448896","0.17530885"
"1528653755879","31.17392","29.466373","0.17133269"
"1528653755943","31.151249","29.483448","0.16739692"
"1528653756138","31.128582","29.500126","0.16350101"
"1528653756285","31.10592","29.51641","0.15964438"
"1528653756476","31.083263","29.532307","0.15582684"
"1528653756636","31.060612","29.547815","0.152048"
"1528653756813","31.015322","29.562943","0.14830752"
"1528653756891","31.037964","29.577467","0.14240846"
"1528653756954","31.015322","29.592072","0.14313601"
"1528653757082","30.992685","29.606304","0.13952965"
"1528653757145","30.970053","29.620169","0.13591614"
"1528653757339","30.947426","29.633667","0.13233882"
"1528653757467","30.924803","29.646805","0.12879775"
"1528653757677","30.902185","29.659584","0.12529255"
"1528653757810","30.879572","29.67201","0.12182288"
"1528653757874","30.856964","29.684086","0.118388325"
"1528653757938","30.834362","29.695814","0.1149887"
"1528653758148","30.811764","29.7072","0.11162364"
"1528653758212","30.789171","29.718245","0.10829257"
"1528653758496","30.743998","29.728954","0.10499531"
"1528653758808","30.72142","29.739105","0.099540964"
"1528653758873","30.698845","29.748928","0.09630992"
"1528653759281","30.676277","29.758427","0.09313404"
"1528653759556","30.653711","29.767605","0.08999087"
"1528653759647","30.676277","29.776466","0.086879246"
"1528653759719","30.631153","29.785465","0.08817737"
"1528653759951","30.608597","29.793922","0.08294042"
"1528653760284","30.586048","29.802069","0.079877816"
"1528653760347","30.563501","29.809908","0.07686888"
"1528653760474","30.54096","29.817444","0.073890395"
"1528653760557","30.563501","29.824678","0.07094231"
"1528653760643","30.54096","29.832067","0.0723974"
"1528653760725","30.518425","29.839157","0.069508314"
"1528653760937","30.495893","29.84595","0.066605076"
"1528653761210","30.473368","29.85245","0.06373066"
"1528653761272","30.450846","29.858658","0.06088569"
"1528653761480","30.42833","29.86458","0.058069434"
"1528653761728","30.405817","29.870218","0.05528188"
"1528653761936","30.383308","29.875574","0.05252266"
"1528653762018","30.360806","29.880651","0.04979139"
"1528653762079","30.338308","29.885452","0.047088068"
"1528653762203","30.315815","29.88998","0.044412326"
"1528653762265","30.338308","29.89424","0.041763593"
"1528653762346","30.315815","29.89868","0.04350599"
"1528653762408","30.293325","29.902851","0.040910482"
"1528653762744","30.270842","29.906755","0.038297728"
"1528653762806","30.248362","29.910397","0.03571114"
"1528653762890","30.270842","29.913776","0.033150807"
"1528653763016","30.248362","29.917347","0.034978"
"1528653763079","30.225887","29.920656","0.032469165"
"1528653763161","30.203417","29.923708","0.029942367"
"1528653763203","30.225887","29.926504","0.02744079"
"1528653763348","30.203417","29.929499","0.029324068"
"1528653763536","30.18095","29.932238","0.026872644"
"1528653763873","30.15849","29.934725","0.024402538"
"1528653764087","30.136032","29.936962","0.021957273"
"1528653764279","30.11358","29.938953","0.019536773"
"1528653764342","30.091133","29.9407","0.017141048"
"1528653764426","30.11358","29.942205","0.0147697395"
"1528653764490","30.091133","29.94392","0.016777342"
"1528653764747","30.068691","29.945393","0.0144536905"
"1528653764958","30.046253","29.946625","0.012110569"
"1528653765276","30.023819","29.94762","0.00979089"
"1528653765424","30.00139","29.948383","0.00749492"
"1528653765487","30.023819","29.948914","0.005223223"
"1528653765551","30.00139","29.949663","0.0073232763"
"1528653765958","29.978966","29.95018","0.005097298"
"1528653766085","29.956545","29.950468","0.002853034"
"1528653766348","29.93413","29.95053","6.5768167E-4"
"1528653766413","29.956545","29.950365","0.0016005948"
"1528653766476","29.93413","29.950426","6.23613E-4"
"1528653766722","29.911718","29.950264","0.0015905084"
"1528653767089","29.88931","29.949879","0.0037622987"
"1528653767153","29.911718","29.949272","0.0059183855"
"1528653767216","29.88931","29.948896","0.0037096913"
"1528653767280","29.866909","29.948301","0.0058226134"
"1528653767541","29.844513","29.947487","0.007958549"
"1528653767719","29.822119","29.946457","0.010073352"
"1528653768022","29.777346","29.945213","0.012167048"
"1528653768497","29.754967","29.943535","0.016415413"
"1528653768713","29.732592","29.941648","0.018461976"
"1528653769079","29.71022","29.939558","0.02047039"
"1528653769142","29.732592","29.937265","0.022458278"
"1528653769210","29.71022","29.935219","0.020085491"
"1528653769425","29.732592","29.932968","0.022033235"
"1528653769490","29.71022","29.930964","0.019664204"
"1528653769553","29.732592","29.928757","0.021616282"
"1528653769657","29.687855","29.926796","0.019251598"
"1528653769743","29.732592","29.924406","0.023380583"
"1528653769828","29.71022","29.922487","0.018850988"
"1528653769892","29.777346","29.920364","0.020785635"
"1528653769957","29.844513","29.918934","0.014101008"
"1528653770021","29.88931","29.91819","0.0073931874"
"1528653770085","29.978966","29.917902","0.0029117593"
"1528653770151","30.046253","29.918512","0.005962003"
"1528653770216","30.091133","29.91979","0.012471333"
"1528653770280","30.15849","29.921503","0.016755674"
"1528653770346","30.18095","29.923872","0.02317134"
"1528653770432","30.225887","29.926443","0.025176756"
"1528653770561","30.270842","29.929438","0.029309738"
"1528653770697","30.293325","29.932852","0.03342203"
"1528653770741","30.315815","29.936457","0.035311434"
"1528653770764","30.293325","29.94025","0.037162665"
"1528653770827","30.315815","29.94378","0.03463142"
"1528653770955","30.338308","29.947502","0.03644511"
"1528653771083","30.360806","29.95141","0.038284775"
"1528653771302","30.405817","29.955503","0.04010692"
"1528653771430","30.450846","29.960007","0.04409676"
"1528653771672","30.495893","29.964914","0.04806876"
"1528653771780","30.518425","29.970224","0.05200302"
"1528653771887","30.54096","29.975706","0.05371218"
"1528653772014","30.563501","29.98136","0.055383854"
"1528653772081","30.586048","29.98718","0.05703927"
"1528653772296","30.631153","29.99317","0.05867863"
"1528653772342","30.608597","29.99955","0.062491395"
"1528653772428","30.631153","30.00564","0.059721358"
"1528653772555","30.653711","30.011894","0.06129098"
"1528653772685","30.676277","30.018312","0.062888555"
"1528653772819","30.698845","30.024893","0.06447126"
"1528653772970","30.72142","30.031631","0.06603849"
"1528653773013","30.766582","30.038528","0.067590795"
"1528653773222","30.789171","30.045809","0.07131992"
"1528653773285","30.811764","30.053242","0.07284181"
"1528653773413","30.856964","30.060827","0.07432786"
"1528653773561","30.879572","30.068789","0.07799324"
