"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1528653736525","71.71315","0.0","0.0"
"1528653737703","52.478134","0.0","0.0"
"1528653738802","53.254436","0.0","0.0"
"1528653740254","41.57044","0.0","0.0"
"1528653741139","66.42066","0.0","0.0"
"1528653741926","75.94936","66.42066","0.0"
"1528653743187","96.25668","66.42066","0.0"
"1528653744022","71.42857","66.719025","2.9095702"
"1528653745273","48.0","66.76612","0.54367644"
"1528653747066","66.666664","66.57846","1.8308556"
"1528653748072","60.402683","66.579346","0.18328749"
"1528653749708","76.59574","66.51758","0.60261893"
"1528653751929","78.947365","66.61836","0.9846551"
"1528653755058","76.43312","66.74165","1.2063336"
"1528653756958","63.268894","66.83857","0.9527671"
"1528653758277","91.139244","66.80287","0.3609131"
"1528653758900","95.2381","67.046234","2.3735263"
"1528653760067","113.92405","67.328156","2.759461"
"1528653760771","85.30806","67.79411","4.552343"
"1528653761354","101.694916","67.96925","1.7675658"
"1528653761969","96.25668","68.30651","3.2936296"
"1528653762682","95.2381","68.58601","2.7454925"
"1528653763852","98.36066","68.85253","2.613538"
"1528653764471","94.73684","69.14761","2.8894386"
"1528653765106","98.36066","69.4035","2.5121014"
"1528653765810","94.73684","69.69308","2.835016"
"1528653766980","96.77419","69.94351","2.4586356"
"1528653767606","96.25668","70.21182","2.6280193"
"1528653768267","99.44752","70.472275","2.553421"
"1528653768843","94.73684","70.762024","2.8371425"
"1528653769418","106.50887","71.00177","2.3551447"
"1528653770001","99.44752","71.35684","3.4706073"
"1528653770687","96.25668","71.63775","2.7612643"
"1528653771247","97.297295","71.88394","2.4166336"
"1528653771904","91.83673","72.13808","2.4900322"
"1528653772553","92.78351","72.33506","1.9370588"
"1528653773200","91.37056","72.53954","2.0034928"
"1528653773871","90.45226","72.72785","1.8472735"
"1528653774495","95.2381","72.9051","1.7383049"
"1528653775173","90.90909","73.128426","2.184812"
"1528653775812","93.26425","73.30623","1.7476581"
"1528653776462","90.90909","73.505806","1.9541119"
"1528653777787","92.78351","73.67984","1.7083585"
"1528653778458","88.23529","73.87088","1.8707814"
"1528653779080","96.25668","74.01453","1.4132357"
"1528653779791","90.0","74.236946","2.173626"
"1528653780367","96.77419","74.39458","1.5524845"
"1528653781009","92.78351","74.61837","2.1879466"
"1528653781747","92.30769","74.80002","1.7849021"
"1528653782284","98.36066","74.9751","1.7166305"
"1528653782932","90.0","75.208954","2.2869813"
"1528653783577","95.74468","75.356865","1.4604217"
