"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1528653735725","27.824059","0.0","0.0"
"1528653735760","27.846083","0.0","0.0"
"1528653735907","27.824059","0.0","0.0"
"1528653736036","27.846083","0.0","0.0"
"1528653736099","27.824059","0.0","0.0"
"1528653736376","27.846083","0.0","0.0"
"1528653736440","27.824059","0.0","0.0"
"1528653736483","27.846083","0.0","0.0"
"1528653736567","27.824059","0.0","0.0"
"1528653736704","27.802038","0.0","0.0"
"1528653736768","27.824059","0.0","0.0"
"1528653737107","27.802038","0.0","0.0"
"1528653737182","27.824059","0.0","0.0"
"1528653737226","27.802038","0.0","0.0"
"1528653737313","27.824059","0.0","0.0"
"1528653737441","27.846083","0.0","0.0"
"1528653737506","27.824059","0.0","0.0"
"1528653737570","27.802038","0.0","0.0"
"1528653737703","27.846083","0.0","0.0"
"1528653737892","27.824059","0.0","0.0"
"1528653737958","27.846083","0.0","0.0"
"1528653738108","27.824059","0.0","0.0"
"1528653738171","27.846083","0.0","0.0"
"1528653739501","27.868109","0.0","0.0"
"1528653739586","27.89014","0.0","0.0"
"1528653739629","27.868109","27.89014","0.0"
"1528653739789","27.89014","27.89014","0.0"
"1528653739831","27.868109","27.89014","0.0"
"1528653739958","27.89014","27.88992","0.0021484194"
"1528653740063","27.868109","27.889921","2.1592565E-4"
"1528653740170","27.912176","27.889704","0.0021272984"
"1528653740254","27.89014","27.889929","0.002201745"
"1528653740572","27.912176","27.88993","2.2114234E-4"
"1528653740671","27.89014","27.890154","0.0021693867"
"1528653741247","27.912176","27.890154","2.1694266E-4"
"1528653741310","27.89014","27.890373","0.0021477772"
"1528653741374","27.912176","27.890371","2.1597752E-4"
"1528653741503","27.934214","27.890589","0.0021265468"
"1528653741905","27.956257","27.891026","0.004259501"
"1528653741973","27.934214","27.891678","0.00637552"
"1528653742059","27.956257","27.892103","0.0041967467"
"1528653742231","27.934214","27.892744","0.00627031"
"1528653742379","27.978302","27.893158","0.0040924596"
"1528653742508","27.956257","27.894009","0.008313293"
"1528653742825","27.978302","27.89463","0.006127095"
"1528653743507","28.000353","27.895468","0.008182457"
"1528653743766","28.022406","27.896517","0.010260919"
"1528653743936","28.000353","27.897776","0.012319327"
"1528653744087","28.022406","27.898802","0.010078734"
"1528653744170","28.000353","27.900038","0.012095757"
"1528653744299","28.022406","27.901041","0.009857084"
"1528653744365","28.000353","27.902254","0.011876352"
"1528653744556","28.022406","27.903234","0.009639963"
"1528653744680","28.000353","27.904427","0.011661293"
"1528653744785","28.022406","27.905386","0.009426999"
"1528653744847","28.000353","27.906557","0.0114503885"
"1528653744911","28.022406","27.907495","0.009218191"
"1528653745039","28.000353","27.908644","0.011243826"
"1528653745124","28.022406","27.909561","0.009013727"
"1528653745316","28.000353","27.91069","0.011041232"
"1528653745387","28.022406","27.911587","0.00881323"
"1528653745745","28.000353","27.912695","0.010842793"
"1528653745769","28.022406","27.913572","0.008616702"
"1528653746244","28.066525","27.914661","0.010648131"
"1528653746434","28.08859","27.91618","0.014847763"
"1528653746581","28.110659","27.917904","0.016878717"
"1528653746757","28.132732","27.919832","0.018872747"
"1528653746976","28.154808","27.92196","0.020847391"
"1528653747451","28.17689","27.92429","0.022802422"
"1528653747514","28.198973","27.926815","0.02473858"
"1528653747578","28.17689","27.929537","0.026655493"
"1528653747746","28.198973","27.93201","0.02426831"
"1528653748050","28.221062","27.93468","0.0261466"
"1528653748118","28.198973","27.937544","0.028049702"
"1528653748318","28.221062","27.940159","0.025647981"
"1528653748449","28.243155","27.942968","0.027513046"
"1528653748514","28.221062","27.94597","0.029402746"
"1528653748691","28.243155","27.94872","0.02698724"
"1528653748843","28.26525","27.951666","0.028839275"
"1528653748905","28.243155","27.954802","0.03071595"
"1528653748968","28.28735","27.957685","0.028287036"
"1528653749838","28.309454","27.960981","0.032272715"
"1528653749903","28.28735","27.964466","0.0341355"
"1528653750114","28.309454","27.967695","0.03167166"
"1528653750442","28.353674","27.971113","0.033477988"
"1528653750507","28.42003","27.97494","0.037456688"
"1528653750591","28.508564","27.979391","0.043565966"
"1528653750696","28.619322","27.984682","0.05178791"
"1528653750720","28.707998","27.991028","0.062105615"
"1528653750786","28.818937","27.998198","0.07019333"
"1528653750851","28.974422","28.006405","0.08034471"
"1528653750916","29.08561","28.016085","0.094741166"
"1528653750981","29.219172","28.02678","0.10472817"
"1528653751048","29.33059","28.038704","0.11675116"
"1528653751112","29.442116","28.051622","0.12652287"
"1528653751180","29.55375","28.065527","0.13618816"
