"System Time Index","EDA Data","EDA Data Average","EDA Data Standard Deviation","EDA Data Derivation","EDA Data Derivation Average","EDA Data Derivation Standard Deviation","EDA Data Second Derviation","EDA Data Second Derivation Average","EDA Data Second Derivation Standard Deviation"
"1528653320042","0.66379136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320079","0.6647972","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320099","0.63783365","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320146","0.6537634","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320157","0.673875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320168","0.66278607","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320179","0.656766","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320193","0.6647972","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320200","0.6698348","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320209","0.64379084","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320216","0.6617813","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320222","0.6507659","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320254","0.6527637","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320265","0.6718538","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320276","0.68299836","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320286","0.69728154","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320300","0.70240986","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320330","0.6983061","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320385","0.656766","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320446","0.6269631","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320516","0.66077715","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320572","0.6617813","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320668","0.66379136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320742","0.6698348","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320795","0.69523424","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320843","0.7220292","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320892","0.7355744","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653320969","0.7127097","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321106","0.7241066","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321174","0.7313961","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321227","0.74711376","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321366","0.75766677","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321436","0.7704098","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321573","0.7672159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321644","0.7640274","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321714","0.7714757","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321785","0.76934457","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321832","0.7778837","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321899","0.8124345","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653321966","0.8266538","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528653322035","0.8621156","0.8266538","0.0","0.0","0.8266538","0.0","0.0","0.8266538","0.0"
"1528653322109","0.87445945","0.8266538","0.0","1.4674869E-4","0.0","0.0","6.099662E-8","0.0","0.0"
"1528653322161","0.8643541","0.8271318","0.0046619503","2.143507E-4","1.4674869E-6","1.4310744E-5","1.685083E-7","6.099662E-10","5.948312E-9"
"1528653322234","0.8632345","0.82750404","0.0036596819","2.1043536E-4","3.596319E-6","2.0809364E-5","1.4034435E-7","2.2889495E-9","1.6384032E-8"
"1528653322309","0.8321513","0.82786137","0.0035035545","1.7206393E-4","5.6647095E-6","2.0277736E-5","5.1998843E-8","3.6695036E-9","1.3562314E-8"
"1528653322361","0.82885087","0.8279043","5.4567633E-4","7.490166E-5","7.3287015E-6","1.6353246E-5","-1.1985307E-7","4.1527968E-9","4.904271E-9"
"1528653322433","0.8299504","0.82791376","1.0723081E-4","-1.8435672E-5","8.004431E-6","6.7895135E-6","-2.7595675E-7","2.912738E-9","1.2102833E-8"
"1528653322509","0.83435476","0.82793415","1.988971E-4","-1.0431554E-4","7.74003E-6","2.6662983E-6","-4.0308208E-7","1.2404316E-10","2.7221914E-8"
"1528653322594","0.84651977","0.82799834","6.264469E-4","-1.4720128E-4","6.6194743E-6","1.0930768E-5","-4.4555188E-7","-3.908018E-9","3.9414264E-8"
"1528653322712","0.856531","0.82818353","0.0018072742","-1.5596523E-4","5.081267E-6","1.5040177E-5","-4.2835632E-7","-8.324457E-9","4.3248516E-8"
"1528653322785","0.82226723","0.828467","0.002770312","-1.3322312E-4","3.4708019E-6","1.57769E-5","-3.5928878E-7","-1.2524775E-8","4.1188656E-8"
"1528653322833","0.74921954","0.828405","6.650426E-4","-1.6489727E-4","2.1038627E-6","1.3423255E-5","-3.807588E-7","-1.5992415E-8","3.4065902E-8"
"1528653322902","0.6921676","0.8276132","0.007722354","-2.5943096E-4","4.338514E-7","1.6340962E-5","-4.867263E-7","-1.9640078E-8","3.57343E-8"
"1528653322974","0.70549375","0.8262587","0.013231036","-3.768014E-4","-2.1647968E-6","2.5394314E-5","-6.076197E-7","-2.431094E-8","4.5689607E-8"
"1528653323042","0.7096137","0.82505107","0.011850936","-4.3533437E-4","-5.911163E-6","3.6622234E-5","-6.5694024E-7","-3.014403E-8","5.706672E-8"
"1528653323089","0.71995413","0.8238967","0.011319514","-4.621255E-4","-1.02053955E-5","4.203663E-5","-6.667357E-7","-3.6411993E-8","6.1390175E-8"
"1528653323179","0.73243976","0.82285726","0.010199353","-4.562749E-4","-1.4724596E-5","4.42707E-5","-6.399651E-7","-4.271523E-8","6.177416E-8"
