"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1528653320325","45.801525","0.0","0.0"
"1528653321368","54.054054","0.0","0.0"
"1528653322784","43.90244","0.0","0.0"
"1528653323535","75.94936","0.0","0.0"
"1528653324701","53.731342","0.0","0.0"
"1528653326298","73.319756","53.731342","0.0"
"1528653327150","70.588234","53.731342","0.0"
"1528653327961","72.8745","53.89991","1.6438626"
"1528653329780","68.311195","54.089657","1.857665"
"1528653331324","75.15658","54.231873","1.3992523"
"1528653332220","66.17647","54.44112","2.0453422"
"1528653333924","71.14625","54.558475","1.1625497"
"1528653334772","77.586205","54.724354","1.6217904"
"1528653335656","63.60424","54.952972","2.2353494"
"1528653336515","68.44106","55.039486","0.872772"
"1528653337262","80.0","55.1735","1.3098158"
"1528653338151","67.41573","55.421764","2.4245892"
"1528653338962","74.6888","55.541702","1.1945025"
"1528653339894","64.98195","55.733173","1.871017"
"1528653340793","65.93407","55.82566","0.92113113"
"1528653341621","72.0","55.926746","0.990053"
"1528653343366","65.69343","56.08748","1.5705668"
"1528653345020","72.72727","56.183537","0.9498348"
"1528653346837","66.17647","56.348972","1.6161177"
"1528653347692","72.58064","56.447247","0.9718959"
"1528653348495","71.71315","56.60858","1.576307"
"1528653349398","65.93407","56.75963","1.4813884"
"1528653350337","64.98195","56.85137","0.9068609"
"1528653351172","71.71315","56.93268","0.79805267"
"1528653352068","66.666664","57.080482","1.4435804"
"1528653352967","68.181816","57.176346","0.9459123"
"1528653353886","64.7482","57.2864","1.0773998"
"1528653355828","61.749573","57.36102","0.7355979"
"1528653359101","54.933876","57.404903","0.43424204"
"1528653360134","58.44156","57.38019","0.24485266"
"1528653361770","76.27119","57.390804","0.106360026"
"1528653365639","76.43312","57.57961","1.8412213"
"1528653366837","50.27933","57.768143","1.8477669"
"1528653368522","70.588234","57.693256","0.7533125"
"1528653369444","65.21739","57.822205","1.2597562"
"1528653370241","75.0","57.896156","0.7320894"
"1528653371150","66.42066","58.067196","1.6695507"
"1528653371926","76.92308","58.15073","0.83155197"
"1528653372839","67.16418","58.338455","1.832543"
"1528653373769","68.44106","58.426712","0.8799661"
"1528653374557","70.588234","58.526855","0.9805432"
"1528653375413","70.3125","58.64747","1.1802903"
"1528653376292","67.41573","58.76412","1.1436657"
"1528653377237","64.28571","58.850636","0.85141045"
"1528653378094","71.42857","58.904987","0.53681654"
"1528653379015","64.05694","59.030224","1.2224633"
"1528653379935","65.454544","59.08049","0.5052119"
"1528653380893","67.92453","59.14423","0.6236394"
"1528653381767","68.70229","59.232033","0.85851175"
"1528653382590","66.17647","59.326736","0.92750937"
"1528653383480","68.44106","59.395233","0.6743857"
"1528653384328","70.588234","59.48569","0.8847118"
"1528653385155","71.14625","59.596718","1.0863142"
"1528653386063","67.16418","59.71221","1.1315222"
"1528653386964","65.93407","59.78673","0.73546255"
"1528653387820","72.0","59.848206","0.6039748"
"1528653388744","69.23077","59.969723","1.1865656"
"1528653389571","67.16418","60.062332","0.91088665"
"1528653390434","68.70229","60.13335","0.69852734"
"1528653391299","69.49807","60.21904","0.8385468"
"1528653392998","72.289154","60.31183","0.9087563"
"1528653393945","64.51613","60.431602","1.1715432"
"1528653394824","67.41573","60.472446","0.41518945"
"1528653395696","70.86614","60.541878","0.6783723"
"1528653396557","67.669174","60.64512","1.009092"
"1528653397485","64.05694","60.71536","0.6923699"
"1528653398369","69.23077","60.748775","0.33314067"
"1528653399184","72.0","60.833595","0.82782346"
"1528653400105","65.69343","60.94526","1.0920756"
"1528653400976","68.70229","60.99274","0.47573948"
"1528653401846","70.588234","61.069836","0.75332946"
"1528653402762","67.92453","61.16502","0.9312739"
"1528653403591","68.70229","61.232616","0.6657246"
"1528653405360","66.42066","61.307312","0.7314692"
"1528653406303","63.82979","61.358444","0.5039839"
"1528653407160","70.3125","61.383156","0.24621575"
"1528653408020","68.70229","61.47245","0.8711261"
"1528653408963","64.51613","61.54475","0.7104061"
"1528653409945","61.643837","61.574463","0.29834643"
"1528653411572","73.921974","61.575157","0.03059206"
"1528653412545","61.43345","61.698624","1.2040498"
"1528653413446","66.17647","61.695972","0.123150624"
"1528653414310","69.49807","61.740776","0.43710583"
"1528653415168","70.03891","61.818348","0.75774324"
"1528653416099","64.28571","61.900555","0.80523175"
"1528653416981","68.44106","61.924408","0.24614131"
"1528653417862","67.16418","61.989574","0.6359724"
"1528653418807","64.51613","62.04132","0.50861233"
"1528653419772","64.28571","62.06607","0.24664107"
"1528653420508","77.25322","62.08827","0.21785723"
"1528653421452","63.157894","62.239918","1.479027"
"1528653422418","62.283737","62.249096","0.1728845"
"1528653423225","74.6888","62.249443","0.017615393"
"1528653424183","63.60424","62.373837","1.2130711"
"1528653425076","66.666664","62.38614","0.17062366"
"1528653425972","67.669174","62.428944","0.41777995"
"1528653426849","67.16418","62.481346","0.5127255"
"1528653427799","68.44106","62.528175","0.45953292"
"1528653428663","66.666664","62.587303","0.57844555"
"1528653429537","65.69343","62.628098","0.40199745"
"1528653430376","71.42857","62.658752","0.30161786"
"1528653431288","66.9145","62.746452","0.85575324"
"1528653432202","65.93407","62.78813","0.41537324"
"1528653433081","67.669174","62.81959","0.3095867"
"1528653434834","68.70229","62.868088","0.47393727"
"1528653435800","67.16418","62.92643","0.5709148"
"1528653436614","68.965515","62.968807","0.41718462"
"1528653437485","67.669174","63.028774","0.5862775"
"1528653438370","68.70229","63.07518","0.45630768"
"1528653439264","66.9145","63.13145","0.55064285"
"1528653441098","64.28571","63.16928","0.37300467"
"1528653441961","69.23077","63.180447","0.11508534"
"1528653442853","67.669174","63.24095","0.59013146"
"1528653443789","66.9145","63.285233","0.43584836"
"1528653444799","60.402683","63.321526","0.35659483"
"1528653446462","69.49807","63.292336","0.28686658"
"1528653447292","72.8745","63.354393","0.60585475"
"1528653448280","61.43345","63.449593","0.9303632"
"1528653449125","70.03891","63.429432","0.21751314"
"1528653450067","63.157894","63.495525","0.64491487"
"1528653450946","69.76744","63.49215","0.07241017"
"1528653451829","67.16418","63.5549","0.61200136"
"1528653453772","62.71777","63.590996","0.35725284"
"1528653454625","67.92453","63.582264","0.09234625"
"1528653456400","68.44106","63.625687","0.4235529"
"1528653457162","76.59574","63.67384","0.4714957"
"1528653458235","56.42633","63.80306","1.2610091"
"1528653459211","61.85567","63.72929","0.7303377"
"1528653460106","67.16418","63.710552","0.19676861"
"1528653460977","68.181816","63.745087","0.33736753"
"1528653461925","63.82979","63.789455","0.43397734"
"1528653463747","68.44106","63.78986","0.043575596"
"1528653464720","59.60265","63.836372","0.45360026"
"1528653465537","70.3125","63.794037","0.41535166"
"1528653466415","68.181816","63.859222","0.6370276"
"1528653467341","64.51613","63.902447","0.4263202"
"1528653468285","63.60424","63.908585","0.07347759"
"1528653469234","63.157894","63.90554","0.030575214"
"1528653470068","73.17073","63.898064","0.07297356"
"1528653470955","67.41573","63.99079","0.90428793"
"1528653471901","63.60424","64.02504","0.3460213"
"1528653473730","70.3125","64.02083","0.053676967"
"1528653474582","68.70229","64.08375","0.613579"
"1528653475606","57.877815","64.12994","0.4545546"
"1528653477401","67.16418","64.06741","0.61139077"
"1528653478303","65.454544","64.09838","0.30811915"
"1528653480141","65.57377","64.111946","0.1357928"
"1528653482908","64.90385","64.126564","0.14320038"
"1528653483858","70.588234","64.13434","0.07714028"
"1528653484528","78.26087","64.198875","0.6294231"
"1528653485548","59.800663","64.33949","1.3727518"
"1528653488370","63.52941","64.294106","0.46341968"
"1528653490225","64.63196","64.28646","0.0877986"
"1528653491134","65.454544","64.28992","0.034817506"
"1528653492107","62.93706","64.30156","0.113626674"
"1528653492973","67.92453","64.28792","0.13354872"
