"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1528653320012","32.842922","0.0","0.0"
"1528653320081","32.819866","0.0","0.0"
"1528653320129","32.842922","0.0","0.0"
"1528653320795","32.819866","0.0","0.0"
"1528653320844","32.842922","0.0","0.0"
"1528653320914","32.865986","0.0","0.0"
"1528653321987","32.889053","0.0","0.0"
"1528653322116","32.865986","0.0","0.0"
"1528653322242","32.889053","0.0","0.0"
"1528653322316","32.865986","0.0","0.0"
"1528653322366","32.889053","0.0","0.0"
"1528653322905","32.91213","0.0","0.0"
"1528653322976","32.889053","0.0","0.0"
"1528653323045","32.91213","0.0","0.0"
"1528653323847","32.935207","0.0","0.0"
"1528653323979","32.91213","0.0","0.0"
"1528653324114","32.935207","0.0","0.0"
"1528653324536","32.91213","0.0","0.0"
"1528653324747","32.935207","0.0","0.0"
"1528653325038","32.95829","0.0","0.0"
"1528653325170","32.935207","0.0","0.0"
"1528653325257","32.91213","0.0","0.0"
"1528653325302","32.935207","0.0","0.0"
"1528653325832","32.95829","0.0","0.0"
"1528653325919","32.91213","0.0","0.0"
"1528653325990","32.935207","32.91213","0.0"
"1528653326167","32.95829","32.91213","0.0"
"1528653326234","32.935207","32.91259","0.0045016287"
"1528653326689","32.95829","32.912815","0.0022511908"
"1528653326780","32.935207","32.91327","0.0044404534"
"1528653326845","32.95829","32.91349","0.0021848134"
"1528653326910","32.935207","32.913937","0.0043744445"
"1528653326975","32.95829","32.91415","0.0021198324"
"1528653327107","32.935207","32.914593","0.0043095704"
"1528653327173","32.95829","32.9148","0.0020560003"
"1528653327239","32.98138","32.915234","0.0042462065"
"1528653327326","32.95829","32.915894","0.0064646667"
"1528653327372","32.935207","32.916317","0.004184745"
"1528653327438","32.95829","32.916508","0.0018889232"
"1528653327504","32.98138","32.916927","0.0040787635"
"1528653327677","32.95829","32.917572","0.0062985914"
"1528653327788","32.98138","32.91798","0.0040203235"
"1528653327832","32.95829","32.918613","0.006195845"
"1528653327917","32.935207","32.91901","0.003918515"
"1528653328049","32.98138","32.91917","0.0016275782"
"1528653328640","32.95829","32.919792","0.0060688606"
"1528653328805","32.98138","32.920177","0.0038029745"
"1528653328851","32.95829","32.920788","0.0059807072"
"1528653328897","32.98138","32.92116","0.0037058697"
"1528653328986","32.95829","32.921764","0.0058840904"
"1528653329031","32.98138","32.92213","0.003610123"
"1528653329188","32.95829","32.92272","0.0057893596"
"1528653329233","32.98138","32.923077","0.0035166407"
"1528653329299","33.004475","32.92366","0.00569652"
"1528653329364","32.98138","32.92447","0.007901418"
"1528653329432","33.004475","32.925037","0.005605968"
"1528653329804","33.027576","32.92583","0.007766967"
"1528653329849","33.004475","32.92685","0.00995235"
"1528653329916","32.98138","32.927624","0.0076352423"
"1528653330047","33.004475","32.92816","0.0052975668"
"1528653330115","32.98138","32.928925","0.007460798"
"1528653330247","33.004475","32.92945","0.005169371"
"1528653330515","32.98138","32.930202","0.0073343264"
"1528653330581","33.027576","32.930714","0.005044474"
"1528653331171","33.004475","32.931683","0.009459365"
"1528653331237","33.027576","32.93241","0.00716127"
"1528653331370","33.050686","32.93336","0.009308158"
"1528653331436","33.027576","32.934536","0.011479003"
"1528653331831","33.004475","32.935467","0.009145475"
"1528653331916","33.027576","32.936157","0.006791381"
"1528653332371","33.004475","32.937073","0.008940784"
"1528653332436","33.027576","32.937748","0.0066333595"
"1528653332909","33.050686","32.938644","0.008785218"
"1528653333184","33.027576","32.939766","0.010961294"
"1528653333252","33.050686","32.940643","0.00863311"
"1528653333717","33.0738","32.941742","0.010766056"
"1528653333783","33.050686","32.94306","0.0129230395"
"1528653333881","33.0738","32.944138","0.0105746705"
"1528653333970","33.050686","32.945435","0.012688533"
"1528653334036","33.0738","32.946487","0.010342071"
"1528653334317","33.050686","32.94776","0.012458178"
"1528653334380","33.0738","32.94879","0.010114001"
"1528653334687","33.050686","32.950043","0.012232355"
"1528653334775","33.0738","32.95105","0.009890463"
"1528653335239","33.096916","32.95228","0.012011065"
"1528653335303","33.050686","32.953724","0.014156026"
"1528653335367","33.0738","32.954693","0.009561053"
"1528653335592","33.096916","32.955883","0.011654464"
"1528653335767","33.0738","32.957294","0.013802556"
"1528653336912","33.096916","32.958458","0.011445073"
"1528653337330","33.0738","32.959843","0.013550676"
"1528653337374","33.096916","32.960983","0.011195098"
"1528653337783","33.12004","32.96234","0.013303321"
"1528653337848","33.096916","32.963917","0.015436244"
"1528653337912","33.0738","32.96525","0.013061337"
"1528653337977","33.12004","32.966335","0.0106658675"
"1528653338041","33.096916","32.967873","0.015027046"
"1528653338128","33.0738","32.969162","0.012673672"
"1528653338176","33.096916","32.970207","0.010282596"
"1528653338325","33.0738","32.971474","0.012399267"
"1528653338396","33.12004","32.972496","0.010055476"
"1528653338461","33.0738","32.973972","0.014423397"
"1528653338505","33.12004","32.97497","0.009841137"
"1528653338599","33.096916","32.97642","0.014181252"
"1528653338677","33.12004","32.977627","0.0118357185"
"1528653338766","33.096916","32.97905","0.013938505"
"1528653338920","33.12004","32.98023","0.0115783885"
"1528653339049","33.096916","32.98163","0.013683223"
"1528653339176","33.12004","32.98278","0.01132576"
"1528653339305","33.096916","32.984154","0.0134332245"
"1528653339518","33.12004","32.985283","0.011078047"
"1528653339872","33.14317","32.98663","0.013188135"
"1528653339917","33.12004","32.988194","0.015322568"
"1528653339982","33.096916","32.989513","0.012948428"
"1528653340046","33.12004","32.99059","0.010553351"
"1528653340310","33.096916","32.991882","0.012668135"
"1528653340375","33.12004","32.99293","0.010320937"
"1528653340926","33.14317","32.9942","0.01243853"
"1528653340972","33.12004","32.995693","0.014580114"
"1528653341056","33.14317","32.996937","0.012213554"
"1528653341122","33.12004","32.998398","0.014312751"
"1528653341258","33.14317","32.999615","0.011948465"
"1528653341384","33.12004","33.00105","0.014050287"
"1528653341773","33.14317","33.00224","0.011688659"
"1528653341907","33.12004","33.003647","0.013793111"
"1528653342507","33.14317","33.00481","0.011434142"
"1528653342592","33.166306","33.006195","0.013540849"
"1528653342639","33.14317","33.007797","0.015672268"
"1528653342747","33.12004","33.00915","0.013293974"
"1528653342869","33.14317","33.01026","0.010895088"
"1528653342918","33.166306","33.01159","0.013006871"
"1528653342983","33.14317","33.013138","0.015143557"
"1528653343068","33.166306","33.01444","0.01277057"
"1528653343455","33.14317","33.015957","0.014864867"
"1528653343521","33.166306","33.017227","0.012494522"
"1528653343737","33.14317","33.01872","0.01459145"
"1528653343782","33.166306","33.019962","0.012223762"
"1528653344680","33.14317","33.021427","0.01432332"
"1528653344778","33.166306","33.022644","0.011958291"
"1528653344912","33.14317","33.024082","0.01406048"
"1528653344998","33.166306","33.025272","0.011698107"
"1528653345259","33.189445","33.026684","0.013802926"
"1528653345324","33.166306","33.028313","0.01593209"
"1528653345389","33.189445","33.029694","0.013550774"
"1528653345585","33.14317","33.031292","0.01563754"
"1528653345697","33.166306","33.03241","0.011021745"
"1528653345780","33.189445","33.03375","0.013103789"
"1528653345931","33.166306","33.035305","0.015239855"
"1528653346902","33.189445","33.036613","0.012865736"
"1528653347119","33.212593","33.038143","0.014959278"
"1528653347986","33.189445","33.039886","0.017077893"
"1528653348050","33.212593","33.04138","0.014684472"
"1528653348113","33.189445","33.043095","0.016760685"
"1528653348176","33.212593","33.04456","0.014369898"
"1528653348387","33.189445","33.046238","0.016449492"
"1528653348452","33.212593","33.04767","0.014062113"
"1528653348723","33.189445","33.049316","0.016144723"
"1528653348767","33.212593","33.050716","0.013760377"
"1528653348789","33.189445","33.052334","0.015845997"
"1528653348851","33.212593","33.053703","0.013464683"
