"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1528653323269","44.334976","0.0","0.0"
"1528653324620","44.88778","0.0","0.0"
"1528653326510","62.71777","0.0","0.0"
"1528653327236","84.11215","0.0","0.0"
"1528653327949","84.50704","0.0","0.0"
"1528653329255","91.83673","84.50704","0.0"
"1528653329956","87.37864","84.50704","0.0"
"1528653330636","88.23529","84.53576","0.2800344"
"1528653331939","94.24084","84.572754","0.36185881"
"1528653333262","91.60305","84.66943","0.94351333"
"1528653334401","52.478134","84.73877","0.6827086"
"1528653335648","96.25668","84.41616","3.1467562"
"1528653336320","91.83673","84.53457","1.1967827"
"1528653336911","95.74468","84.60759","0.72208434"
"1528653337567","93.75","84.71896","1.0884725"
"1528653338218","90.90909","84.80927","0.8873961"
"1528653338870","94.73684","84.87027","0.601429"
"1528653340204","89.10891","84.96893","0.9640533"
"1528653340812","97.297295","85.01033","0.4150762"
"1528653341451","95.2381","85.1332","1.1989275"
"1528653342142","87.37864","85.23425","0.99268305"
"1528653342772","96.25668","85.2557","0.23148295"
"1528653344084","91.83673","85.36571","1.0730518"
"1528653345456","85.91885","85.43042","0.64010394"
"1528653346792","95.490715","85.4353","0.079787835"
"1528653347422","86.124405","85.53586","0.98062325"
"1528653348811","86.33093","85.54174","0.11362378"
"1528653349446","96.25668","85.54963","0.07779556"
"1528653350105","89.55224","85.6567","1.0441672"
"1528653350829","85.71429","85.695656","0.39397672"
"1528653351479","90.90909","85.69584","0.03943956"
"1528653352162","87.80488","85.74797","0.5084048"
"1528653353467","93.26425","85.76854","0.20692971"
"1528653354125","92.78351","85.8435","0.73126495"
"1528653354837","90.0","85.912895","0.6807204"
"1528653355425","94.73684","85.953766","0.40434054"
"1528653356081","92.78351","86.041595","0.85746807"
"1528653357418","89.10891","86.10902","0.6630305"
"1528653358131","84.90566","86.139015","0.29996517"
"1528653358896","84.11215","86.12668","0.123958796"
"1528653359527","87.80488","86.10654","0.19684508"
"1528653360212","88.23529","86.12352","0.16678579"
"1528653361601","86.124405","86.14464","0.20661141"
"1528653362293","86.95652","86.14443","0.020755108"
"1528653364193","63.268894","86.15255","0.07922129"
"1528653364881","87.80488","85.92371","2.2315989"
"1528653365594","83.333336","85.94253","0.28888354"
"1528653366232","93.75","85.916435","0.25607964"
"1528653366912","89.55224","85.994774","0.764348"
"1528653368341","80.35714","86.03035","0.35523972"
"1528653368990","90.45226","85.97362","0.5543835"
