"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1528653321926","32.589607","0.0","0.0"
"1528653321999","32.61261","0.0","0.0"
"1528653322129","32.566612","0.0","0.0"
"1528653322201","32.61261","0.0","0.0"
"1528653322267","32.566612","0.0","0.0"
"1528653322330","32.589607","0.0","0.0"
"1528653322461","32.566612","0.0","0.0"
"1528653322531","32.589607","0.0","0.0"
"1528653322597","32.61261","0.0","0.0"
"1528653322730","32.589607","0.0","0.0"
"1528653322860","32.566612","0.0","0.0"
"1528653322989","32.589607","0.0","0.0"
"1528653323074","32.566612","0.0","0.0"
"1528653323139","32.589607","0.0","0.0"
"1528653324060","32.61261","0.0","0.0"
"1528653324189","32.589607","0.0","0.0"
"1528653324254","32.61261","0.0","0.0"
"1528653324555","32.589607","0.0","0.0"
"1528653324599","32.61261","0.0","0.0"
"1528653324945","32.589607","0.0","0.0"
"1528653325074","32.61261","0.0","0.0"
"1528653325150","32.589607","0.0","0.0"
"1528653325195","32.61261","0.0","0.0"
"1528653325391","32.589607","0.0","0.0"
"1528653325457","32.61261","0.0","0.0"
"1528653325810","32.635616","32.61261","0.0"
"1528653325876","32.61261","32.61261","0.0"
"1528653326007","32.635616","32.61261","0.0"
"1528653326137","32.61261","32.61284","0.002243675"
"1528653326267","32.635616","32.612835","2.2546016E-4"
"1528653326468","32.61261","32.613064","0.0022216195"
"1528653326532","32.658627","32.61306","2.265435E-4"
"1528653326622","32.635616","32.613514","0.004443819"
"1528653326802","32.61261","32.613735","0.0022007043"
"1528653326869","32.658627","32.613724","2.4590653E-4"
"1528653326934","32.635616","32.614174","0.0043788236"
"1528653326999","32.61261","32.614388","0.0021364703"
"1528653327064","32.635616","32.61437","2.7504982E-4"
"1528653327261","32.61261","32.614582","0.0020721343"
"1528653327346","32.635616","32.614563","2.8275675E-4"
"1528653327545","32.658627","32.614773","0.0020533584"
"1528653327610","32.635616","32.61521","0.0042814743"
"1528653327882","32.658627","32.615414","0.0020355717"
"1528653327927","32.635616","32.615845","0.0042190845"
"1528653328058","32.61261","32.616043","0.0019736579"
"1528653328143","32.635616","32.61601","3.8864758E-4"
"1528653328275","32.658627","32.616203","0.0019126477"
"1528653328470","32.635616","32.616627","0.0041415584"
"1528653328542","32.61261","32.616817","0.0018975042"
"1528653328606","32.635616","32.616776","4.5208147E-4"
"1528653328866","32.658627","32.616962","0.0018380323"
"1528653328932","32.635616","32.61738","0.0040672696"
"1528653329414","32.658627","32.61756","0.0018243968"
"1528653329546","32.635616","32.617973","0.0040086494"
"1528653329717","32.681644","32.61815","0.0017666935"
"1528653329780","32.635616","32.618782","0.006194702"
"1528653329955","32.681644","32.61895","0.0017546897"
"1528653330195","32.658627","32.619576","0.006116541"
"1528653330280","32.681644","32.619965","0.0038571537"
"1528653330328","32.658627","32.620583","0.0060271774"
"1528653330395","32.681644","32.620964","0.0037585387"
"1528653331261","32.658627","32.62157","0.0059294244"
"1528653331348","32.681644","32.62194","0.0036620256"
"1528653331611","32.658627","32.62254","0.005833562"
"1528653331782","32.681644","32.622902","0.0035670358"
"1528653332133","32.70467","32.62349","0.005739587"
"1528653332200","32.681644","32.624302","0.007937333"
"1528653332327","32.70467","32.624874","0.00564814"
"1528653332611","32.681644","32.62567","0.0078021265"
"1528653332806","32.70467","32.626232","0.005513799"
"1528653332939","32.681644","32.627018","0.007668859"
"1528653333199","32.70467","32.627563","0.0053820945"
