"System Time Index","EDA Data","EDA Data Average","EDA Data Standard Deviation","EDA Data Derivation","EDA Data Derivation Average","EDA Data Derivation Standard Deviation","EDA Data Second Derviation","EDA Data Second Derivation Average","EDA Data Second Derivation Standard Deviation"
"1528652995255","3.3540816","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652995423","3.3571339","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652995466","3.3632472","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652995699","3.3663082","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652995751","3.3693724","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652995829","3.3724394","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652995882","3.3755093","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652995953","3.384737","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996166","3.387819","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996351","3.390904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996445","3.3939917","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996497","3.4063735","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996567","3.4094763","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996613","3.4063735","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996753","3.4032736","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996825","3.3939917","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996894","3.381658","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996960","3.3755093","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997027","3.3785822","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997093","3.3755093","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997294","3.3663082","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997323","3.3693724","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997422","3.3724394","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997557","3.3755093","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997690","3.3724394","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997890","3.3755093","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997956","3.381658","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998022","3.3970826","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998086","3.4063735","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998152","3.4001765","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998274","3.3970826","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998323","3.3939917","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998367","3.381658","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998434","3.3755093","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998500","3.3693724","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998566","3.3663082","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998611","3.360189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998695","3.3510325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998758","3.3479862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998822","3.3116584","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998887","3.2668326","3.3116584","0.0","0.0","3.3116584","0.0","0.0","3.3116584","0.0"
"1528652998958","3.249081","3.3116584","0.0","-9.8318706E-5","0.0","0.0","-8.4749814E-8","0.0","0.0"
"1528652999017","3.2314303","3.3110325","0.006102469","-1.6401641E-4","-9.831871E-7","9.587914E-6","-1.4889277E-7","-8.474981E-10","8.264693E-9"
"1528652999152","3.2343652","3.3102365","0.0077866525","-2.1422487E-4","-2.6135194E-6","1.5927675E-5","-1.9312704E-7","-2.3279507E-9","1.4460822E-8"
"1528652999251","3.2373028","3.3094778","0.0074397326","-2.4236579E-4","-4.729633E-6","2.0697444E-5","-2.0277746E-7","-4.2359414E-9","1.8662591E-8"
"1528652999347","3.2431862","3.308756","0.007077632","-2.4190804E-4","-7.1059944E-6","2.3266217E-5","-1.8842351E-7","-6.2213563E-9","1.9451251E-8"
"1528652999377","3.2520325","3.3081005","0.006433346","-2.2688405E-4","-9.454015E-6","2.3015495E-5","-1.621548E-7","-8.0433775E-9","1.7874273E-8"
"1528652999489","3.260904","3.3075397","0.005505384","-2.0248622E-4","-1.16283145E-5","2.1328044E-5","-1.3495013E-7","-9.584491E-9","1.5134669E-8"
"1528652999559","3.263867","3.3070734","0.004581049","-1.7493819E-4","-1.3536894E-5","1.8734021E-5","-9.8544355E-8","-1.0838148E-8","1.2318821E-8"
"1528652999625","3.2757463","3.3066413","0.0042382735","-1.3765391E-4","-1.5150907E-5","1.5850746E-5","-5.7610855E-8","-1.171521E-8","8.641255E-9"
"1528652999693","3.2906597","3.3063323","0.003042501","-9.338495E-5","-1.6375936E-5","1.2051034E-5","-1.20585515E-8","-1.2174167E-8","4.55834E-9"
"1528652999763","3.296645","3.3061757","0.0015583772","-4.290701E-5","-1.7146027E-5","7.6058977E-6","3.680562E-8","-1.217301E-8","4.559734E-10"
"1528652999829","3.3086498","3.3060803","9.4239804E-4","1.0508436E-5","-1.7403636E-5","2.6247926E-6","8.587778E-8","-1.1683224E-8","4.7765507E-9"
"1528652999896","3.3146696","3.306106","2.676992E-4","6.257503E-5","-1.7124516E-5","2.734576E-6","1.3084356E-7","-1.0707614E-8","9.526007E-9"
"1528652999970","3.317684","3.3061917","8.355365E-4","1.0642043E-4","-1.632752E-5","7.777007E-6","1.65749E-7","-9.292102E-9","1.3836719E-8"
"1528653000018","3.3207011","3.3063066","0.0011238205","1.430679E-4","-1.510004E-5","1.199546E-5","1.9164315E-7","-7.541691E-9","1.7125773E-8"
"1528653000084","3.323721","3.3064506","0.0014082209","1.6332569E-4","-1.3518361E-5","1.5470909E-5","2.0396982E-7","-5.5498424E-9","1.94996E-8"
"1528653000150","3.3267438","3.3066232","0.001690066","1.7977945E-4","-1.174992E-5","1.731486E-5","2.1072684E-7","-3.4546457E-9","2.0524926E-8"
"1528653000237","3.3297698","3.3068244","0.0019694003","1.8934507E-4","-9.834626E-6","1.8757784E-5","2.1164244E-7","-1.3128308E-9","2.0987308E-8"
"1528653000434","3.3388648","3.3070538","0.0022462658","1.9679061E-4","-7.842829E-6","1.9514111E-5","2.0924202E-7","8.167219E-10","2.0872905E-8"
"1528653000630","3.3419023","3.3073719","0.0031102956","2.107727E-4","-5.796495E-6","2.0050777E-5","2.0304223E-7","2.9009748E-9","2.0432262E-8"
"1528653000695","3.3449428","3.307717","0.0033817014","2.0807944E-4","-3.630803E-6","2.1214519E-5","1.8628653E-7","4.9023874E-9","1.9624178E-8"
"1528653000740","3.3479862","3.3080893","0.0036459302","1.9333349E-4","-1.5137005E-6","2.075442E-5","1.7157738E-7","6.716229E-9","1.7796875E-8"
"1528653000895","3.3510325","3.3084881","0.003907756","1.8393467E-4","4.347714E-7","1.9114259E-5","1.6258683E-7","8.36484E-9","1.6175251E-8"
"1528653000962","3.3540816","3.3089135","0.004167245","1.8612212E-4","2.2697704E-6","1.799647E-5","1.5503902E-7","9.90706E-9","1.5126265E-8"
"1528653001028","3.3510325","3.309365","0.0044244216","1.77323E-4","4.108294E-6","1.801914E-5","1.4446132E-7","1.135838E-8","1.42336845E-8"
"1528653001094","3.3540816","3.3097818","0.004087366","1.6749738E-4","5.840441E-6","1.6987515E-5","1.323711E-7","1.26894095E-8","1.30578375E-8"
"1528653001268","3.3571339","3.3102248","0.0043393583","1.5833834E-4","7.4570107E-6","1.585584E-5","1.2031067E-7","1.3886226E-8","1.17440235E-8"
"1528653001547","3.360189","3.310694","0.0045950385","1.5185763E-4","8.965824E-6","1.479894E-5","1.0389766E-7","1.4950471E-8","1.0444611E-8"
"1528653001701","3.3571339","3.311189","0.0048485096","1.3308079E-4","1.0394742E-5","1.401299E-5","7.504591E-8","1.5839943E-8","8.736673E-9"
"1528653001765","3.360189","3.3116484","0.00450665","9.8510616E-5","1.1621602E-5","1.204597E-5","4.2269615E-8","1.6432002E-8","5.839417E-9"
"1528653001829","3.3571339","3.3121338","0.004755019","6.5483255E-5","1.2490493E-5","8.558502E-6","1.2603382E-8","1.6690379E-8","2.5864315E-9"
"1528653001894","3.360189","3.3125837","0.0044140466","3.6003745E-5","1.3020421E-5","5.2381765E-6","-1.4109548E-8","1.6649508E-8","4.7512655E-10"
"1528653002511","3.3571339","3.3130598","0.004663336","1.5609756E-5","1.3250254E-5","2.3017017E-6","-3.2123317E-8","1.6341918E-8","2.99996E-9"
"1528653002619","3.3540816","3.3135006","0.004323261","-3.1001073E-5","1.3273849E-5","3.2545705E-7","-5.8836225E-8","1.5857266E-8","4.735779E-9"
"1528653002818","3.3571339","3.3139064","0.003980953","-4.7476296E-5","1.2831099E-5","4.317756E-6","-6.8590396E-8","1.511033E-8","7.299392E-9"
"1528653002970","3.360189","3.3143387","0.004234242","-6.0945087E-5","1.2228025E-5","5.8969285E-6","-7.3665966E-8","1.4273324E-8","8.194961E-9"
"1528653003016","3.3479862","3.3147972","0.004491267","-6.799023E-5","1.1496294E-5","7.1600725E-6","-7.527429E-8","1.3393931E-8","8.614793E-9"
"1528653003101","3.3419023","3.315129","0.003267569","-6.887466E-5","1.0701428E-5","7.784422E-6","-7.466926E-8","1.25072495E-8","8.689621E-9"
"1528653003308","3.3449428","3.3153968","0.0026312561","-7.34951E-5","9.905668E-6","7.799104E-6","-7.516354E-8","1.1635485E-8","8.545636E-9"
"1528653003332","3.3388648","3.3156922","0.0028932858","-3.5018056E-5","9.07166E-6","8.170445E-6","-2.3302123E-8","1.07674945E-8","8.507558E-9"
"1528653003377","3.3358302","3.315924","0.002278209","-3.8973238E-5","8.630763E-6","4.3765153E-6","-2.606955E-8","1.0426798E-8","3.4296204E-9"
"1528653003683","3.3327985","3.316123","0.0019545562","-3.927233E-5","8.154722E-6","4.662865E-6","-2.5457492E-8","1.0061835E-8","3.5755634E-9"
"1528653003752","3.3358302","3.3162897","0.0016378846","-4.037709E-5","7.680452E-6","4.648471E-6","-2.0001453E-8","9.706642E-9","3.482205E-9"
"1528653003967","3.3388648","3.3164852","0.0019125857","-3.5166617E-5","7.199876E-6","4.7095073E-6","-1.4224897E-8","9.409561E-9","2.9179477E-9"
"1528653004033","3.3419023","3.316709","0.0021907904","-2.6901405E-5","6.776211E-6","4.158281E-6","-4.7734994E-9","9.173217E-9","2.3231996E-9"
"1528653004257","3.3388648","3.316961","0.002466551","-2.0702213E-5","6.439435E-6","3.3104184E-6","2.639342E-10","9.03375E-9","1.3797651E-9"
"1528653004366","3.3449428","3.3171802","0.002150213","-1.33302665E-5","6.1680184E-6","2.6674404E-6","7.3952053E-9","8.946052E-9","8.662799E-10"
"1528653004391","3.3419023","3.3174577","0.0027159138","-3.8833796E-6","5.9730355E-6","1.9200666E-6","1.4647059E-8","8.930543E-9","1.7428972E-10"
"1528653004414","3.3449428","3.317702","0.0023992322","-8.7159646E-7","5.8744713E-6","9.801751E-7","1.6816761E-8","8.987708E-9","5.5773963E-10"
"1528653004500","3.3479862","3.3179746","0.0026672855","3.3285248E-6","5.8070104E-6","6.6512973E-7","1.9826915E-8","9.065999E-9","7.6551376E-10"
"1528653004691","3.3510325","3.3182747","0.0029388221","8.838672E-6","5.782226E-6","2.506836E-7","2.3665214E-8","9.173608E-9","1.0521792E-9"
"1528653004756","3.3540816","3.3186023","0.0032079834","1.8947592E-5","5.8127903E-6","2.9911308E-7","3.0000233E-8","9.318524E-9","1.4171143E-9"
"1528653004844","3.3571339","3.318957","0.0034747394","2.474165E-5","5.944138E-6","1.2812383E-6","3.3413716E-8","9.5253405E-9","2.0218263E-9"
"1528653004889","3.360189","3.3193388","0.0037391363","3.052984E-5","6.1321134E-6","1.8375814E-6","3.6502147E-8","9.764224E-9","2.338321E-9"
"1528653004955","3.3632472","3.3197472","0.004001174","3.4466124E-5","6.376091E-6","2.3863208E-6","3.8593182E-8","1.0031603E-8","2.6179119E-9"
"1528653005173","3.3693724","3.3201823","0.0042608758","3.9136346E-5","6.656991E-6","2.7496785E-6","4.069574E-8","1.0317219E-8","2.7975644E-9"
"1528653005316","3.3755093","3.3206742","0.0048158406","4.8854876E-5","6.9817847E-6","3.179258E-6","4.440403E-8","1.06210045E-8","2.9756542E-9"
"1528653005362","3.3724394","3.3212225","0.005369087","5.493062E-5","7.4005156E-6","4.095768E-6","4.6190163E-8","1.0958835E-8","3.3078884E-9"
"1528653005429","3.3755093","3.3217347","0.0050233803","5.4699492E-5","7.875817E-6","4.653136E-6","4.520108E-8","1.1311148E-8","3.4516014E-9"
"1528653005497","3.3785822","3.3222723","0.0052680457","5.587008E-5","8.344054E-6","4.5898323E-6","4.4798153E-8","1.1650047E-8","3.322878E-9"
"1528653005624","3.387819","3.3228354","0.00551648","5.6921053E-5","8.819314E-6","4.657349E-6","4.399838E-8","1.1981528E-8","3.2495946E-9"
"1528653005691","3.390904","3.3234854","0.0063610743","6.127809E-5","9.300331E-6","4.7138838E-6","4.4477943E-8","1.23016966E-8","3.1391076E-9"
"1528653005757","3.3939917","3.3241596","0.006605268","6.248205E-5","9.820109E-6","5.0906765E-6","4.355496E-8","1.2623459E-8","3.1534495E-9"
"1528653005823","3.3970826","3.324858","0.006841894","6.316454E-5","1.0346728E-5","5.160695E-6","4.2140186E-8","1.2932774E-8","3.032839E-9"
"1528653005952","3.4001765","3.3255801","0.007076413","6.3219595E-5","1.0874906E-5","5.176514E-6","4.010895E-8","1.3224848E-8","2.8643707E-9"
"1528653006085","3.4032736","3.3263261","0.0073088785","6.383867E-5","1.1398353E-5","5.130767E-6","3.7420783E-8","1.3493689E-8","2.6373044E-9"
"1528653006176","3.4063735","3.3270955","0.0075393375","6.200388E-5","1.1922756E-5","5.1395864E-6","3.2895247E-8","1.373296E-8","2.3481965E-9"
"1528653006333","3.4032736","3.3278883","0.0077677667","5.768648E-5","1.2423568E-5","4.9108157E-6","2.7256897E-8","1.3924582E-8","1.8833777E-9"
"1528653006357","3.4063735","3.3286421","0.0073924027","5.1907755E-5","1.2876197E-5","4.441215E-6","2.0542029E-8","1.4057906E-8","1.3137206E-9"
"1528653006422","3.4094763","3.3294194","0.007616231","4.4772776E-5","1.3266513E-5","3.83213E-6","1.4122284E-8","1.4122747E-8","6.458261E-10"
"1528653006618","3.4125824","3.33022","0.007844105","4.0850315E-5","1.3581575E-5","3.0962565E-6","1.0149348E-8","1.4122743E-8","6.4582624E-11"
"1528653006830","3.4156914","3.3310437","0.008070079","3.81025E-5","1.3854263E-5","2.6771775E-6","7.0112867E-9","1.4083009E-8","3.8753423E-10"
"1528653007092","3.4188035","3.33189","0.008294093","3.3232845E-5","1.4096745E-5","2.3797636E-6","2.812523E-9","1.4012292E-8","6.907133E-10"
"1528653007158","3.4156914","3.3327591","0.008516173","2.76855E-5","1.4288106E-5","1.8812407E-6","-1.0926988E-9","1.3900294E-8","1.094369E-9"
