"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1528652995830","88.23529","0.0","0.0"
"1528652996823","61.01695","0.0","0.0"
"1528652997890","55.90062","0.0","0.0"
"1528652999945","58.252426","0.0","0.0"
"1528653000919","61.01695","0.0","0.0"
"1528653001983","57.142857","61.01695","0.0"
"1528653002970","61.22449","61.01695","0.0"
"1528653004128","50.9915","61.019024","0.020239294"
"1528653005044","66.17647","60.918747","0.97787315"
"1528653006111","55.90062","60.971325","0.5219679"
"1528653007136","59.60265","60.920616","0.49723577"
"1528653008105","61.43345","60.907436","0.13780953"
"1528653010132","59.210526","60.912697","0.05311494"
"1528653011159","58.064518","60.895676","0.16607858"
"1528653012136","62.283737","60.867363","0.2765898"
"1528653013160","58.82353","60.881527","0.1408651"
"1528653014162","59.210526","60.860947","0.20118712"
"1528653015288","55.90062","60.844444","0.1621997"
"1528653016251","62.068966","60.795006","0.4823882"
"1528653017066","69.76744","60.807747","0.13327143"
"1528653018326","49.315067","60.897343","0.8738396"
"1528653020476","54.545456","60.78152","1.132864"
"1528653021477","60.20067","60.719162","0.61859506"
"1528653022408","64.98195","60.713978","0.079894975"
"1528653023529","53.254436","60.756657","0.41628382"
"1528653024588","56.962025","60.681633","0.7327901"
"1528653025640","56.42633","60.644436","0.37005922"
"1528653026632","61.22449","60.602253","0.41300526"
"1528653027702","55.727554","60.608475","0.07340155"
"1528653028547","70.86614","60.559666","0.4760377"
"1528653029726","51.42857","60.66273","1.006201"
"1528653030681","62.5","60.57039","0.9061076"
"1528653031693","58.631924","60.589684","0.20885286"
"1528653032539","71.42857","60.570107","0.19205725"
"1528653033669","54.545456","60.67869","1.0590779"
"1528653034664","59.60265","60.61736","0.60740954"
"1528653036602","63.82979","60.607212","0.11610854"
"1528653037637","58.252426","60.63944","0.31447583"
"1528653039625","59.900166","60.61557","0.23489317"
"1528653040615","61.643837","60.608418","0.07361365"
"1528653041698","55.04587","60.61877","0.10124087"
"1528653042551","70.86614","60.56304","0.5435563"
"1528653043892","45.0","60.666073","1.0062144"
"1528653048146","56.514915","60.50941","1.5310453"
"1528653049166","58.252426","60.469467","0.4185463"
"1528653050114","63.157894","60.447296","0.22021699"
"1528653051013","68.181816","60.474403","0.26524964"
"1528653052367","43.68932","60.55148","0.75208473"
"1528653054369","60.913704","60.38286","1.6460953"
"1528653055404","57.32484","60.38817","0.17255765"
"1528653056431","58.82353","60.357536","0.2992299"
"1528653058480","57.971016","60.342197","0.15255797"
"1528653059498","59.210526","60.318485","0.23173726"
"1528653060453","62.71777","60.307407","0.11050417"
"1528653061590","52.02312","60.331512","0.2353149"
"1528653062475","69.23077","60.24843","0.81056535"
"1528653064659","54.79452","60.338253","0.87968826"
"1528653065646","61.43345","60.282814","0.5477278"
"1528653066731","55.555557","60.29432","0.12486319"
"1528653067668","63.157894","60.246933","0.4622868"
"1528653069318","37.113403","60.276043","0.2876127"
"1528653070161","69.49807","60.04442","2.2589743"
"1528653071665","39.647575","60.138954","0.9491807"
"1528653072705","57.877815","59.93404","2.000546"
"1528653073690","61.01695","59.91348","0.28324956"
"1528653074667","61.85567","59.924515","0.11127429"
"1528653075696","57.692307","59.943825","0.18865249"
"1528653076634","63.82979","59.92131","0.22037423"
"1528653077706","55.90062","59.960396","0.38178623"
"1528653078639","64.51613","59.9198","0.39774096"
"1528653079659","58.631924","59.965763","0.44998932"
"1528653080698","59.01639","59.952423","0.1376379"
"1528653081590","65.69343","59.94306","0.09231234"
"1528653083717","56.42633","60.000565","0.5608444"
"1528653084665","64.28571","59.96482","0.3530379"
"1528653085840","50.42017","60.00803","0.42284423"
"1528653086840","60.60606","59.91215","0.9359515"
"1528653087850","59.60265","59.91909","0.11549528"
"1528653089009","51.724136","59.915924","0.03294922"
"1528653090015","59.60265","59.834007","0.79885954"
"1528653091129","54.21687","59.831696","0.08301087"
"1528653092052","64.28571","59.775547","0.54761356"
"1528653093117","56.962025","59.82065","0.44322166"
"1528653095308","57.142857","59.79206","0.28227064"
"1528653096154","63.157894","59.765568","0.2598844"
"1528653096987","72.289154","59.79949","0.33183447"
"1528653098226","50.42017","59.92439","1.2184278"
"1528653099154","61.43345","59.829346","0.9348136"
"1528653100231","56.962025","59.845387","0.18223375"
"1528653102092","64.05694","59.81655","0.28177148"
"1528653103239","53.892216","59.858955","0.41447595"
"1528653104194","62.068966","59.79929","0.5833433"
"1528653105375","54.711246","59.821987","0.22889398"
"1528653106329","58.631924","59.77088","0.4989184"
"1528653107321","61.43345","59.75949","0.121760644"
"1528653108327","58.82353","59.77623","0.16369575"
"1528653109402","54.054054","59.766705","0.09433749"
"1528653110446","58.064518","59.70958","0.55717033"
"1528653111617","56.074768","59.69313","0.16982459"
"1528653112459","63.60424","59.656948","0.35326663"
"1528653113631","54.711246","59.696423","0.38655236"
"1528653114584","61.01695","59.646572","0.4876825"
"1528653115632","55.555557","59.660275","0.14225794"
"1528653116667","56.074768","59.61923","0.40053958"
"1528653117722","57.32484","59.583782","0.34796405"
"1528653118787","57.507988","59.56119","0.22302023"
"1528653119866","55.214725","59.54066","0.20146413"
"1528653120952","54.380665","59.497402","0.4223405"
"1528653122043","55.555557","59.446236","0.5007619"
"1528653123132","55.04587","59.40733","0.38270438"
"1528653124219","55.214725","59.363716","0.4270422"
"1528653125316","55.04587","59.322227","0.40685177"
"1528653126416","54.380665","59.279465","0.41900474"
"1528653127538","57.877815","59.230476","0.47955865"
"1528653128543","58.064518","59.21695","0.1403565"
"1528653130219","68.965515","59.205425","0.11325672"
"1528653131567","46.272495","59.303024","0.951859"
"1528653132570","57.877815","59.172718","1.2742804"
"1528653133673","58.064518","59.159767","0.17939846"
"1528653134582","62.71777","59.148815","0.108303495"
"1528653135632","55.555557","59.184505","0.34820825"
"1528653136589","66.42066","59.148216","0.35559937"
"1528653137555","59.60265","59.22094","0.71009064"
"1528653138692","53.254436","59.22476","0.08017415"
"1528653139706","57.692307","59.165054","0.58227324"
"1528653140729","58.44156","59.150326","0.15497494"
"1528653141670","64.28571","59.143238","0.070834145"
"1528653142667","60.60606","59.194664","0.5015375"
"1528653143746","56.074768","59.20878","0.14649054"
"1528653144782","57.877815","59.177437","0.3059754"
"1528653145861","55.555557","59.16444","0.13037859"
"1528653146869","59.40594","59.128353","0.35217524"
"1528653147962","54.545456","59.13113","0.044419065"
"1528653148933","62.068966","59.085274","0.44721118"
"1528653150938","59.60265","59.115112","0.29438242"
"1528653151957","60.0","59.119987","0.055919994"
"1528653153108","51.42857","59.128788","0.08599965"
"1528653154579","41.958042","59.051785","0.7509645"
"1528653157030","48.257374","58.880848","1.6686506"
"1528653158746","35.08772","58.774612","1.0493398"
"1528653160309","38.543896","58.537743","2.3122976"
"1528653161222","64.7482","58.337803","1.9634374"
"1528653162297","56.782333","58.401905","0.65524286"
"1528653163323","57.877815","58.385708","0.17099115"
"1528653164304","61.43345","58.38063","0.052397713"
"1528653165309","59.800663","58.41116","0.29775295"
"1528653166348","57.32484","58.425056","0.13873526"
"1528653167428","56.074768","58.414055","0.108184956"
"1528653168420","60.0","58.390663","0.22838074"
"1528653169584","52.32558","58.406757","0.15859339"
"1528653170649","57.32484","58.345947","0.59324074"
"1528653171689","55.384617","58.335735","0.11590906"
"1528653172639","64.28571","58.306225","0.28802267"
"1528653174662","59.210526","58.36602","0.5838229"
"1528653175773","54.711246","58.374466","0.10094969"
"1528653176899","52.785923","58.337833","0.35737506"
"1528653177772","68.70229","58.282314","0.54259336"
"1528653178768","60.20067","58.386513","1.0175908"
"1528653179877","54.711246","58.404655","0.20409183"
"1528653180892","59.40594","58.36772","0.3607543"
"1528653181965","54.711246","58.378105","0.107480824"
"1528653184661","66.99752","58.34144","0.35774902"
"1528653186020","44.226044","58.427998","0.8448879"
"1528653187028","60.0","58.285976","1.3875309"
"1528653187989","62.068966","58.303116","0.21723573"
"1528653189158","51.57593","58.340775","0.36788282"
"1528653190166","58.82353","58.273125","0.6607236"
"1528653191228","56.25","58.27863","0.08512649"
"1528653192202","62.283737","58.258343","0.19801237"
"1528653193231","58.064518","58.298595","0.39305052"
"1528653194279","57.877815","58.296253","0.045452718"
"1528653195316","57.32484","58.29207","0.041057866"
"1528653197255","62.068966","58.282394","0.09441197"
"1528653198365","54.545456","58.32026","0.36938238"
"1528653199386","57.877815","58.282513","0.36996275"
