"System Time Index","EDA Data","EDA Data Average","EDA Data Standard Deviation","EDA Data Derivation","EDA Data Derivation Average","EDA Data Derivation Standard Deviation","EDA Data Second Derviation","EDA Data Second Derivation Average","EDA Data Second Derivation Standard Deviation"
"1528652995945","0.9050983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996014","0.9039548","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996082","0.9050983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996166","0.9062425","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996327","0.9073873","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996353","0.91542023","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996402","0.9108259","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996493","0.8993876","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996565","0.88688314","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996614","0.873334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996689","0.8587629","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996734","0.85430175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652996890","0.856531","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997026","0.8587629","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997073","0.86099744","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997138","0.8621156","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997335","0.8632345","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997360","0.8643541","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997476","0.8654743","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997544","0.8665951","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997609","0.8677166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997758","0.8722092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652997824","0.87108505","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998020","0.8767123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998085","0.8982475","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998151","0.91312176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998251","0.9188732","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998316","0.90967906","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998381","0.8891507","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998408","0.88122606","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998473","0.88688314","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998539","0.89028543","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998603","0.8925569","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998690","0.89142084","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998737","0.897108","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998812","0.902812","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998877","0.90967906","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652998940","0.91312176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652999026","0.91542023","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652999070","0.9177215","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1528652999156","0.91657054","0.9177215","0.0","0.0","0.9177215","0.0","0.0","0.9177215","0.0"
"1528652999321","0.9177215","0.9177215","0.0","1.6303027E-5","0.0","0.0","-3.7225313E-8","0.0","0.0"
"1528652999356","0.9200255","0.9177215","0.0","8.816628E-6","1.6303028E-7","1.5898503E-6","-4.51032E-8","-3.7225312E-10","3.6301648E-9"
"1528652999403","0.9211785","0.9177446","2.246822E-4","9.347371E-6","2.4956626E-7","8.5873324E-7","-4.4079847E-8","-8.195626E-10","4.3771835E-9"
"1528652999471","0.9223322","0.9177789","3.356273E-4","9.256342E-6","3.405443E-7","8.9135244E-7","-4.3839762E-8","-1.2521655E-9","4.241335E-9"
"1528652999542","0.9246417","0.91782445","4.452999E-4","7.2048174E-6","4.2970228E-7","8.7401423E-7","-4.6033538E-8","-1.6780415E-9","4.174689E-9"
"1528652999609","0.92579746","0.91789263","6.663007E-4","4.07467E-6","4.974534E-7","6.6645646E-7","-4.9538635E-8","-2.1215965E-9","4.34559E-9"
"1528652999675","0.9269539","0.9179717","7.7374413E-4","-1.0507521E-6","5.332256E-7","3.5515473E-7","-5.5340717E-8","-2.595767E-9","4.6444235E-9"
"1528652999745","0.9292689","0.9180615","8.793472E-4","-5.9277954E-6","5.1738584E-7","1.5849778E-7","-6.019097E-8","-3.1232164E-9","5.1645457E-9"
"1528652999811","0.9315866","0.91817355","0.0010964649","-1.0850186E-5","4.5293402E-7","6.287256E-7","-6.465647E-8","-3.6938939E-9","5.5890865E-9"
"1528652999877","0.937393","0.91830766","0.0013126151","-1.549557E-5","3.399028E-7","1.1040574E-6","-6.858197E-8","-4.3035198E-9","5.9712066E-9"
"1528652999944","0.9292689","0.9184985","0.0018658015","-1.8681647E-5","1.8154807E-7","1.5481968E-6","-7.0735005E-8","-4.9463043E-9","6.2967285E-9"
"1528653000010","0.9039548","0.9186062","0.0010667571","-2.4340106E-5","-7.0838753E-9","1.8460182E-6","-7.479327E-8","-5.6041913E-9","6.446456E-9"
"1528653000076","0.91427064","0.9184597","0.0014327648","-3.6613856E-5","-2.504141E-7","2.3800949E-6","-8.482071E-8","-6.2960823E-9","6.777956E-9"
"1528653000143","0.9200255","0.9184178","4.3290903E-4","-3.54459E-5","-6.1404853E-7","3.5540947E-6","-8.1588695E-8","-7.0813284E-9","7.68756E-9"
"1528653000232","0.9269539","0.9184339","1.6264788E-4","-3.1132062E-5","-9.62367E-7","3.4153006E-6","-7.598138E-8","-7.826402E-9","7.3064186E-9"
"1528653000278","0.9339071","0.9185191","8.310218E-4","-2.7456674E-5","-1.2640639E-6","2.9618666E-6","-7.075231E-8","-8.507952E-9","6.6864256E-9"
"1528653000380","0.9385564","0.918673","0.0015029166","-2.2817841E-5","-1.52599E-6","2.571385E-6","-6.547459E-8","-9.130395E-9","6.1067063E-9"
"1528653000405","0.94205064","0.9188718","0.0019448182","-1.9481953E-5","-1.7389085E-6","2.0922157E-6","-6.047097E-8","-9.693837E-9","5.5284444E-9"
"1528653000492","0.94321674","0.9191036","0.002268718","-1.268865E-5","-1.916339E-6","1.7428824E-6","-5.4453558E-8","-1.02016084E-8","4.982487E-9"
"1528653000557","0.94205064","0.9193448","0.0023623966","-1.0367134E-5","-2.024062E-6","1.0648619E-6","-5.1400043E-8","-1.0644128E-8","4.3440616E-9"
"1528653000686","0.9408852","0.9195718","0.0022268146","-9.051454E-6","-2.1074927E-6","8.2054464E-7","-4.9647706E-8","-1.1051688E-8","3.9981343E-9"
"1528653000816","0.94205064","0.91978496","0.002090346","-1.192902E-5","-2.1769324E-6","6.821195E-7","-5.0498006E-8","-1.1437648E-8","3.7850096E-9"
"1528653000887","0.9408852","0.92000765","0.002181356","-1.4570381E-5","-2.2744532E-6","9.534542E-7","-5.0979594E-8","-1.1828252E-8","3.827875E-9"
"1528653000952","0.94205064","0.92021644","0.0020476014","-1.5630974E-5","-2.3974126E-6","1.2028678E-6","-5.0811177E-8","-1.2219766E-8","3.8371297E-9"
"1528653000998","0.94321674","0.9204348","0.0021390666","-1.5989901E-5","-2.5297481E-6","1.2961137E-6","-4.980172E-8","-1.260568E-8","3.782896E-9"
"1528653001086","0.94671935","0.9206626","0.0022319434","-1.4927866E-5","-2.6643497E-6","1.3190004E-6","-4.748164E-8","-1.297764E-8","3.6469827E-9"
"1528653001133","0.9478883","0.9209232","0.0025508036","-1.3342715E-5","-2.7869849E-6","1.2031741E-6","-4.3263455E-8","-1.3322681E-8","3.3844925E-9"
"1528653001264","0.95139927","0.9211928","0.0026419489","-7.81266E-6","-2.8925422E-6","1.036389E-6","-3.511829E-8","-1.3622088E-8","2.9393363E-9"
"1528653001320","0.95374346","0.9214949","0.0029575161","-4.838226E-7","-2.9417433E-6","4.908692E-7","-2.3412365E-8","-1.3837051E-8","2.116789E-9"
"1528653001364","0.9549166","0.92181736","0.0031587165","1.1155815E-5","-2.9171642E-6","2.4466794E-7","-8.549077E-9","-1.3932803E-8","9.574649E-10"
"1528653001485","0.95257103","0.92214835","0.0032432145","2.0615771E-5","-2.7764345E-6","1.372597E-6","3.2409737E-9","-1.3878966E-8","5.336733E-10"
"1528653001679","0.95139927","0.92245257","0.0029844563","2.6087733E-5","-2.5425124E-6","2.2853037E-6","9.806908E-9","-1.3707767E-8","1.6703674E-9"
"1528653001744","0.9502283","0.922742","0.0028385802","2.5077796E-5","-2.2562099E-6","2.8013221E-6","8.412439E-9","-1.347262E-8","2.2991966E-9"
"1528653001810","0.94905794","0.92301685","0.0026954163","1.898711E-5","-1.98287E-6","2.6802568E-6","2.5777342E-9","-1.325377E-8","2.1465518E-9"
"1528653001875","0.95139927","0.92327726","0.0025537582","1.1679135E-5","-1.7731701E-6","2.0624552E-6","-4.464482E-9","-1.30954545E-8","1.558719E-9"
"1528653001942","0.9502283","0.9235585","0.0027542873","8.041546E-6","-1.6386471E-6","1.3279653E-6","-7.764831E-9","-1.3009145E-8","8.559928E-10"
