"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1528652996638","78.60262","0.0","0.0"
"1528652997543","66.666664","0.0","0.0"
"1528652998405","70.3125","0.0","0.0"
"1528652999299","67.41573","0.0","0.0"
"1528653000188","66.42066","0.0","0.0"
"1528653001085","67.16418","66.42066","0.0"
"1528653001899","72.289154","66.42066","0.0"
"1528653002789","68.181816","66.47935","0.5722878"
"1528653003654","67.92453","66.49637","0.17560965"
"1528653004518","72.0","66.51065","0.1403752"
"1528653005453","63.60424","66.565544","0.5354983"
"1528653006328","70.588234","66.535934","0.29370585"
"1528653007105","73.46939","66.576454","0.39626533"
"1528653007992","68.44106","66.645386","0.6733571"
"1528653008856","69.49807","66.663345","0.187612"
"1528653009723","69.23077","66.691696","0.27707425"
"1528653010647","66.42066","66.71709","0.24915229"
"1528653011533","66.17647","66.71412","0.038162302"
"1528653012446","66.42066","66.70874","0.052569527"
"1528653013368","65.93407","66.70586","0.02858035"
"1528653014295","66.9145","66.698135","0.075317875"
"1528653015184","64.7482","66.7003","0.022403061"
"1528653016105","65.21739","66.68078","0.19037947"
"1528653017047","63.60424","66.666145","0.14397193"
"1528653017944","66.17647","66.63553","0.29894015"
"1528653018896","63.60424","66.630936","0.053830445"
"1528653019838","63.157894","66.60067","0.29520863"
"1528653020706","70.03891","66.56624","0.33703008"
"1528653021709","59.40594","66.60097","0.3403232"
"1528653022561","70.86614","66.529015","0.70247436"
"1528653023401","71.42857","66.57239","0.4287449"
"1528653024288","69.23077","66.62095","0.47550595"
"1528653025134","68.965515","66.64705","0.25890982"
"1528653025979","71.71315","66.670235","0.22757137"
"1528653026863","66.42066","66.720665","0.4923048"
"1528653027767","67.41573","66.71767","0.057267427"
"1528653028646","68.44106","66.72465","0.06831501"
"1528653029512","68.181816","66.74181","0.16752179"
"1528653030433","65.454544","66.75621","0.14142321"
"1528653031352","64.98195","66.743195","0.1277223"
"1528653032319","63.60424","66.725586","0.17222904"
"1528653033254","66.17647","66.694374","0.30487663"
"1528653034230","61.85567","66.68919","0.058994025"
"1528653035168","61.43345","66.64086","0.47139615"
"1528653037855","66.9145","66.58879","0.5100038"
"1528653038731","68.44106","66.59205","0.060082357"
