"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1528652680578","47.12042","0.0","0.0"
"1528652681364","77.25322","0.0","0.0"
"1528652682128","76.27119","0.0","0.0"
"1528652682943","78.60262","0.0","0.0"
"1528652683680","77.92208","0.0","0.0"
"1528652684486","78.947365","77.92208","0.0"
"1528652685197","78.60262","77.92208","0.0"
"1528652685952","80.71749","77.92889","0.066365585"
"1528652686701","81.08108","77.95677","0.2720222"
"1528652687493","76.92308","77.988014","0.3058903"
"1528652688634","51.42857","77.97736","0.10826212"
"1528652689594","64.28571","77.711876","2.589027"
"1528652690526","65.454544","77.577614","1.3346546"
"1528652691152","90.0","77.45638","1.189736"
"1528652691952","74.380165","77.58182","1.2290097"
"1528652693297","91.37056","77.549805","0.33553964"
"1528652693992","83.333336","77.68801","1.3482001"
"1528652695670","72.58064","77.74446","0.5667931"
"1528652696371","81.818184","77.692825","0.5067489"
"1528652698183","66.29834","77.73408","0.40547884"
"1528652699527","91.83673","77.61972","1.1159354"
"1528652700588","56.782333","77.761894","1.3909081"
"1528652701650","55.214725","77.5521","2.0506227"
"1528652702616","63.82979","77.32873","2.187943"
"1528652704930","51.355206","77.19374","1.3344582"
"1528652707595","67.754074","76.935356","2.523272"
"1528652708872","46.511627","76.843544","0.93022317"
"1528652711588","67.24782","76.54022","2.9593918"
"1528652712765","49.586777","76.447296","0.9532827"
"1528652715433","44.83188","76.17869","2.6211371"
"1528652717687","53.333332","75.86522","3.0681174"
"1528652718770","56.074768","75.6399","2.218598"
"1528652719843","55.727554","75.44425","1.9208226"
"1528652721212","43.583534","75.247086","1.9323179"
"1528652722667","42.056076","74.93045","3.0938292"
"1528652724050","42.65403","74.60171","3.2207608"
"1528652725527","42.154568","74.282234","3.1321006"
"1528652726898","41.958042","73.96096","3.148666"
"1528652728417","79.4702","73.64093","3.1367269"
"1528652729133","84.90566","73.69923","0.6492613"
"1528652729841","83.333336","73.811295","1.0947639"
"1528652730615","79.29515","73.90652","0.9350083"
"1528652731347","81.818184","73.9604","0.5337461"
"1528652733612","80.4769","74.03898","0.7681376"
"1528652734487","65.93407","74.103355","0.6324995"
"1528652737169","67.24782","74.02166","0.7991652"
"1528652739257","57.32484","73.95392","0.6653927"
"1528652740064","75.63025","73.78763","1.623011"
"1528652742000","62.068966","73.80605","0.24213673"
"1528652743575","40.723984","73.68868","1.1448418"
"1528652744835","43.68932","73.35904","3.2167134"
"1528652745728","67.16418","73.06234","2.911179"
"1528652747702","60.708263","73.00336","0.64465725"
"1528652750347","68.01008","72.88041","1.2007339"
"1528652751720","44.117645","72.8317","0.48989117"
"1528652753069","44.444443","72.54456","2.8005867"
"1528652754419","44.226044","72.263565","2.754562"
"1528652757114","66.74907","71.98319","2.7480237"
"1528652759019","62.93706","71.930855","0.5796985"
"1528652760369","44.554455","71.84092","0.8789772"
"1528652761705","45.68528","71.568054","2.6623924"
"1528652763071","43.26923","71.30923","2.5380578"
