"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1528652679314","35.962402","0.0","0.0"
"1528652679456","35.93853","0.0","0.0"
"1528652679805","35.962402","0.0","0.0"
"1528652679992","35.93853","0.0","0.0"
"1528652680121","35.962402","0.0","0.0"
"1528652680578","35.93853","0.0","0.0"
"1528652680661","35.962402","0.0","0.0"
"1528652680723","35.93853","0.0","0.0"
"1528652680922","35.962402","0.0","0.0"
"1528652681114","35.93853","0.0","0.0"
"1528652681259","35.962402","0.0","0.0"
"1528652681322","35.93853","0.0","0.0"
"1528652681405","35.962402","0.0","0.0"
"1528652681509","35.93853","0.0","0.0"
"1528652681592","35.962402","0.0","0.0"
"1528652681738","35.93853","0.0","0.0"
"1528652681800","35.98628","0.0","0.0"
"1528652681899","35.93853","0.0","0.0"
"1528652681982","35.98628","0.0","0.0"
"1528652682044","35.962402","0.0","0.0"
"1528652682191","35.93853","0.0","0.0"
"1528652682317","35.962402","0.0","0.0"
"1528652682400","35.93853","0.0","0.0"
"1528652682587","35.962402","0.0","0.0"
"1528652682901","35.93853","0.0","0.0"
"1528652682943","35.962402","35.93853","0.0"
"1528652683047","35.93853","35.93853","0.0"
"1528652683131","35.962402","35.93853","0.0"
"1528652683193","35.93853","35.93877","0.0023278457"
"1528652683255","35.962402","35.938766","2.3394746E-4"
"1528652683380","35.93853","35.939003","0.002305043"
"1528652683442","35.98628","35.939","2.3509232E-4"
"1528652683525","35.93853","35.939472","0.00461066"
"1528652683592","35.962402","35.939465","4.7016723E-4"
"1528652683722","35.98628","35.939693","0.0022374054"
"1528652683905","35.962402","35.94016","0.004548469"
"1528652684086","35.98628","35.94038","0.0022164467"
"1528652684107","35.962402","35.940838","0.0044815615"
"1528652684355","35.93853","35.941055","0.002149991"
"1528652684443","35.962402","35.94103","3.2680528E-4"
"1528652684507","35.93853","35.941242","0.002084608"
"1528652684596","35.962402","35.941216","3.3680178E-4"
"1528652684745","35.93853","35.94143","0.002066214"
"1528652684875","35.962402","35.9414","3.5005703E-4"
"1528652685091","35.93853","35.94161","0.0020485779"
"1528652685177","35.962402","35.941578","3.6346537E-4"
"1528652685322","35.93853","35.941788","0.002030943"
"1528652685447","35.962402","35.941753","3.7691585E-4"
"1528652685530","35.93853","35.94196","0.0020140614"
"1528652685593","35.962402","35.941925","3.9039293E-4"
"1528652685865","35.98628","35.94213","0.001997181"
"1528652685930","35.93853","35.942574","0.0043097353"
"1528652685995","35.98628","35.94253","5.840476E-4"
"1528652686058","35.962402","35.94297","0.004266426"
"1528652686389","35.93853","35.943165","0.0019424023"
"1528652686471","35.962402","35.94312","4.9200706E-4"
"1528652686616","35.93853","35.943314","0.0018809567"
"1528652686680","35.98628","35.943264","5.0282694E-4"
"1528652686722","35.93853","35.943695","0.0041949325"
"1528652686785","35.962402","35.94364","6.5536867E-4"
"1528652686931","35.93853","35.94383","0.0018307586"
"1528652687118","35.962402","35.943775","5.4814917E-4"
"1528652687180","35.93853","35.943962","0.0018172604"
"1528652687242","35.962402","35.94391","5.601235E-4"
"1528652687587","35.93853","35.94409","0.0018045271"
"1528652687589","35.962402","35.944035","5.714636E-4"
"1528652687652","35.93853","35.944218","0.0017921688"
"1528652687780","35.98628","35.94416","5.828613E-4"
"1528652687865","35.962402","35.94458","0.004107868"
"1528652688052","35.98628","35.94476","0.0017857882"
"1528652688115","35.962402","35.945175","0.004052772"
"1528652688262","35.93853","35.945347","0.0017282236"
"1528652688325","35.962402","35.94528","6.868218E-4"
"1528652688388","35.93853","35.94545","0.0016712982"
"1528652688488","35.962402","35.94538","6.952553E-4"
"1528652688685","35.98628","35.945553","0.0016611964"
"1528652688726","35.962402","35.94596","0.0039749015"
"1528652688995","35.98628","35.946125","0.0016519125"
"1528652689058","35.962402","35.946526","0.0039192988"
"1528652689121","35.93853","35.946686","0.0015969799"
"1528652689184","35.962402","35.946606","8.113599E-4"
"1528652689854","35.98628","35.946762","0.0015427592"
"1528652689938","35.962402","35.94716","0.0038565265"
"1528652690002","35.98628","35.94731","0.0015357257"
"1528652690065","35.962402","35.9477","0.003803183"
"1528652690485","35.98628","35.94785","0.0014831237"
"1528652690549","35.962402","35.948235","0.0037504083"
