"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1528652680744","61.22449","0.0","0.0"
"1528652683421","67.58448","0.0","0.0"
"1528652684225","80.35714","0.0","0.0"
"1528652685234","55.90062","0.0","0.0"
"1528652686080","70.86614","0.0","0.0"
"1528652686964","67.41573","70.86614","0.0"
"1528652689750","63.716816","70.86614","0.0"
"1528652691223","80.71749","70.79465","0.69719297"
"1528652692224","60.402683","70.893875","0.97017145"
"1528652694888","67.58448","70.78896","1.0276773"
"1528652695734","76.92308","70.75692","0.32896158"
"1528652696842","51.8732","70.81858","0.6022153"
"1528652698243","84.309135","70.62913","1.8485106"
"1528652699114","68.965515","70.76593","1.3468025"
"1528652699840","81.44797","70.747925","0.2212804"
"1528652700888","58.44156","70.85493","1.0436889"
"1528652702889","60.100166","70.7308","1.215027"
"1528652704721","67.41573","70.62449","1.0437813"
"1528652705580","72.289154","70.5924","0.32986313"
"1528652706481","61.85567","70.60937","0.16872126"
"1528652707874","85.106384","70.52183","0.85381573"
"1528652709163","46.035805","70.66767","1.4248279"
"1528652710034","70.3125","70.42136","2.4062905"
"1528652710929","67.16418","70.420265","0.24086308"
"1528652711757","71.42857","70.3877","0.31844166"
"1528652712850","54.878048","70.39811","0.10638248"
"1528652713640","83.333336","70.24291","1.5135342"
"1528652714652","57.32484","70.37382","1.2855024"
"1528652716350","69.63249","70.243324","1.2789958"
"1528652717466","53.731342","70.23721","0.14109063"
"1528652718341","67.92453","70.07215","1.6096929"
"1528652719250","67.669174","70.050674","0.2641465"
"1528652720236","60.60606","70.02686","0.23373856"
"1528652721191","62.5","69.932655","0.91900194"
"1528652722064","67.669174","69.85833","0.7306259"
"1528652724746","67.41573","69.83644","0.22564027"
"1528652725652","66.17647","69.81223","0.23714015"
"1528652726543","70.3125","69.77588","0.35534766"
"1528652727463","62.93706","69.78124","0.063255355"
"1528652728311","70.86614","69.7128","0.66746557"
"1528652729195","68.44106","69.724335","0.13078658"
"1528652730099","66.17647","69.7115","0.1258246"
"1528652731008","66.42066","69.676155","0.34496188"
"1528652731864","68.44106","69.6436","0.31934023"
"1528652733764","63.82979","69.63158","0.12154032"
"1528652736344","69.76744","69.573555","0.56591314"
"1528652737064","83.72093","69.57549","0.059666354"
"1528652737909","71.42857","69.71695","1.3794578"
"1528652738747","70.3125","69.73406","0.21654077"
"1528652739599","70.588234","69.739845","0.06042213"
"1528652740613","64.51613","69.74833","0.08295412"
"1528652741396","70.03891","69.69601","0.51030487"
"1528652743157","67.79661","69.69943","0.061010916"
"1528652744001","70.86614","69.680405","0.18566132"
"1528652744939","64.05694","69.69226","0.11711277"
"1528652745778","71.71315","69.63591","0.54967445"
"1528652746722","63.60424","69.656685","0.20989484"
"1528652747726","59.800663","69.59616","0.5905998"
"1528652748697","62.71777","69.49821","0.9570685"
"1528652749593","68.44106","69.430405","0.6681103"
"1528652751556","61.85567","69.42051","0.11735391"
"1528652752463","63.157894","69.344864","0.737807"
"1528652753339","67.92453","69.283","0.60784006"
"1528652754167","72.0","69.26941","0.1457549"
"1528652755087","64.7482","69.296715","0.26668236"
"1528652755878","76.59574","69.25123","0.44436622"
"1528652756857","61.85567","69.32468","0.71760434"
"1528652757720","69.23077","69.249985","0.73189414"
"1528652759578","65.09946","69.249794","0.073213406"
"1528652760393","72.58064","69.20829","0.40480173"
"1528652761394","59.60265","69.24201","0.33134964"
"1528652762296","66.9145","69.145615","0.9406017"
"1528652763155","69.76744","69.12331","0.23703717"
"1528652764032","68.965515","69.129745","0.06713895"
"1528652764940","65.454544","69.128105","0.017366057"
"1528652765839","66.17647","69.09137","0.3582452"
"1528652767632","67.79661","69.06222","0.28650576"
"1528652768458","72.8745","69.04956","0.12670234"
"1528652769189","80.71749","69.08781","0.3732183"
"1528652770028","70.86614","69.2041","1.134726"
"1528652771952","62.5","69.22072","0.19785373"
"1528652773659","71.57058","69.15351","0.6556944"
"1528652774612","61.22449","69.17768","0.2446596"
"1528652776033","42.25352","69.09815","0.775971"
"1528652777091","56.962025","68.829704","2.6190038"
"1528652778602","40.358746","68.71103","1.186585"
"1528652780291","70.450096","68.427505","2.7674234"
"1528652781583","48.51752","68.44773","0.3398384"
"1528652783027","78.77462","68.24843","1.9438655"
"1528652783774","81.44797","68.35369","1.0447439"
"1528652785627","65.57377","68.484634","1.2812037"
"1528652786616","62.71777","68.45553","0.31143808"
"1528652787391","73.17073","68.39815","0.5604046"
"1528652789241","64.51613","68.44588","0.46877757"
"1528652789969","83.72093","68.40658","0.3860804"
"1528652791119","51.8732","68.55972","1.493935"
"1528652792430","46.035805","68.39286","1.634092"
"1528652794129","70.86614","68.16929","2.1863465"
"1528652795005","68.44106","68.19626","0.342004"
"1528652795760","78.947365","68.19871","0.041708313"
"1528652796581","76.92308","68.30619","1.048204"
"1528652798902","76.056335","68.39236","0.8468208"
"1528652799653","81.08108","68.468994","0.75216377"
"1528652802571","57.32484","68.595116","1.232212"
"1528652803516","59.01639","68.482414","1.1059488"
"1528652804321","74.380165","68.38776","0.929716"
"1528652805014","85.30806","68.44768","0.59172183"
"1528652808272","74.07407","68.61628","1.6452675"
"1528652809802","76.92308","68.67086","0.5570862"
"1528652810870","57.507988","68.75338","0.8066721"
"1528652812376","39.473682","68.64092","1.0995988"
"1528652813250","70.03891","68.34925","2.8464766"
"1528652813977","81.44797","68.36615","0.32889888"
"1528652815565","78.26087","68.49697","1.2761457"
"1528652816337","72.0","68.59461","0.96067667"
"1528652817077","81.818184","68.62867","0.34570494"
"1528652818615","80.35714","68.76057","1.2866888"
"1528652819348","75.94936","68.87653","1.1381791"
"1528652820144","76.27119","68.947266","0.69906086"
"1528652821644","40.632053","69.02051","0.7176321"
"1528652822455","74.380165","68.736626","2.769336"
"1528652823130","86.95652","68.79306","0.6160992"
"1528652823740","101.1236","68.97469","1.7723486"
"1528652826215","72.67833","69.29618","3.1401258"
"1528652827909","70.17544","69.33","0.45539764"
"1528652829093","50.27933","69.338455","0.094187066"
"1528652830855","68.311195","69.147865","1.8586453"
"1528652833437","70.496086","69.139496","0.20298441"
"1528652834516","55.555557","69.15306","0.13384122"
"1528652835380","68.965515","69.01708","1.3260783"
"1528652837605","54.878048","69.01656","0.13270314"
"1528652839041","40.17857","68.875175","1.3788335"
"1528652839916","69.23077","68.58821","2.8018513"
"1528652841189","47.36842","68.594635","0.2871065"
"1528652842632","42.154568","68.38237","2.070152"
"1528652844232","76.43312","68.120094","2.566066"
"1528652844959","84.90566","68.203224","0.8503188"
"1528652846105","49.18033","68.37025","1.6310186"
"1528652848167","57.877815","68.178345","1.8784702"
"1528652849237","57.507988","68.07534","1.0219079"
"1528652850614","44.554455","67.969666","1.035569"
"1528652851763","53.097343","67.73551","2.2857683"
"1528652852722","60.0","67.58913","1.4456797"
"1528652854532","65.81353","67.51324","0.75406986"
"1528652856050","79.29515","67.49624","0.18209973"
"1528652857718","72.289154","67.61423","1.150759"
"1528652858446","82.19178","67.66098","0.47019193"
"1528652860849","75.41899","67.80629","1.4178047"
"1528652861599","78.947365","67.882416","0.7557984"
"1528652862359","75.94936","67.993065","1.0816834"
"1528652863171","74.380165","68.072624","0.78339213"
"1528652864086","65.69343","68.1357","0.6200722"
"1528652864937","72.0","68.111275","0.24610649"
"1528652865744","73.46939","68.15016","0.38002127"
"1528652866519","77.25322","68.203354","0.5201146"
"1528652868184","72.289154","68.29385","0.88406247"
"1528652869389","50.139275","68.33381","0.39952043"
"1528652870706","46.632126","68.15186","1.7747574"
"1528652872255","75.15658","67.93667","2.1060686"
"1528652872967","86.53846","68.008865","0.7349007"
"1528652873958","60.60606","68.19416","1.8084762"
"1528652874853","65.69343","68.11828","0.76176035"
"1528652876311","41.57044","68.09403","0.24843542"
"1528652877841","78.26087","67.8288","2.586666"
"1528652879740","63.82979","67.93312","1.0496919"
"1528652880984","47.745358","67.89209","0.41369087"
"1528652883304","77.3639","67.69062","1.9651188"
"1528652884217","66.666664","67.78735","0.96357685"
"1528652884978","77.586205","67.776146","0.14570071"
"1528652886728","68.181816","67.874245","0.9567755"
"1528652887820","55.90062","67.87732","0.100268826"
"1528652888907","54.878048","67.75755","1.1679956"
"1528652890278","44.00978","67.62876","1.2614123"
"1528652891436","51.724136","67.39257","2.306744"
"1528652892817","45.68528","67.235886","1.5452797"
"1528652894307","77.92208","67.02038","2.1072607"
"1528652895442","51.724136","67.129395","1.0838034"
"1528652896187","81.44797","66.97534","1.5062054"
"1528652897006","72.289154","67.12007","1.419366"
"1528652898022","59.800663","67.17176","0.5236842"
"1528652898848","72.8745","67.09805","0.7207254"
"1528652899970","52.785923","67.155815","0.5679035"
"1528652901048","56.603775","67.012115","1.4024837"
"1528652902481","85.71429","66.908035","1.0246519"
"1528652903160","84.11215","67.0961","1.8368216"
"1528652904467","48.387096","67.26626","1.6695191"
"1528652905125","84.11215","67.07747","1.8486261"
"1528652905765","91.37056","67.24782","1.6714545"
"1528652906455","86.95652","67.489044","2.3583496"
"1528652907381","68.70229","67.683716","1.9130359"
"1528652909131","67.03911","67.6939","0.21555416"
"1528652910460","93.99478","67.687355","0.06739484"
"1528652911750","89.77556","67.95043","2.5654752"
"1528652912450","91.83673","68.168686","2.1437643"
"1528652913842","82.56881","68.405365","2.318012"
"1528652914591","79.29515","68.547","1.4005172"
"1528652915620","59.01639","68.65448","1.0574614"
"1528652917532","94.07665","68.5581","0.94582385"
"1528652918537","60.20067","68.813286","2.4903333"
"1528652919249","84.11215","68.72716","0.8760336"
"1528652920663","84.90566","68.881004","1.5028807"
"1528652921589","64.51613","69.04125","1.5699141"
"1528652922222","94.73684","68.996","0.46837828"
"1528652923271","56.603775","69.25341","2.5106504"
"1528652924127","72.0","69.126915","1.2588662"
"1528652926054","93.26425","69.15565","0.30716112"
"1528652928157","85.30806","69.396736","2.3512406"
"1528652929435","48.780487","69.55585","1.5693654"
"1528652930197","75.94936","69.34809","2.0320554"
"1528652932568","76.48725","69.4141","0.6750585"
"1528652933757","49.315067","69.48483","0.69306"
"1528652935489","69.76744","69.283134","1.9681503"
"1528652936697","49.45055","69.28798","0.20240235"
"1528652937629","64.98195","69.08961","1.9346268"
"1528652938673","56.074768","69.04853","0.4448449"
"1528652940048","88.23529","68.91879","1.2659665"
"1528652941114","55.727554","69.11196","1.887969"
"1528652942459","90.6801","68.97812","1.318814"
"1528652945695","73.99795","69.19514","2.1204545"
"1528652946934","48.51752","69.243164","0.51412857"
"1528652948871","61.749573","69.035904","2.0217917"
"1528652949735","69.49807","68.96304","0.73875797"
"1528652951431","72.58064","68.96839","0.09044278"
"1528652953501","57.233704","69.00452","0.35237795"
"1528652954614","52.941177","68.88681","1.1484156"
"1528652955360","80.71749","68.727356","1.5592328"
"1528652956188","72.8745","68.84726","1.1796129"
"1528652957703","79.64602","68.887535","0.4100637"
"1528652958895","50.27933","68.99512","1.0499549"
"1528652960559","72.289154","68.80796","1.8281572"
"1528652961418","75.94936","68.84277","0.3855765"
"1528652962657","45.801525","68.91384","0.69409716"
"1528652963548","66.9145","68.68272","2.2549517"
"1528652965987","73.77049","68.66503","0.28386903"
"1528652967453","42.154568","68.71609","0.4986865"
"1528652969242","66.055046","68.45047","2.5907252"
"1528652970453","51.28205","68.42651","0.34883636"
"1528652971745","44.77612","68.255066","1.6722696"
"1528652972839","55.214725","68.02028","2.2957358"
"1528652974030","50.5618","67.89223","1.2697084"
"1528652974971","63.60424","67.718925","1.6948043"
"1528652975998","57.877815","67.67778","0.4355828"
"1528652977276","46.99739","67.57978","0.9566722"
