"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1528652679768","35.154472","0.0","0.0"
"1528652680042","35.130825","0.0","0.0"
"1528652680104","35.154472","0.0","0.0"
"1528652680165","35.130825","0.0","0.0"
"1528652680227","35.154472","0.0","0.0"
"1528652680310","35.130825","0.0","0.0"
"1528652680371","35.178127","0.0","0.0"
"1528652680433","35.154472","0.0","0.0"
"1528652680516","35.130825","0.0","0.0"
"1528652680557","35.154472","0.0","0.0"
"1528652680640","35.130825","0.0","0.0"
"1528652680789","35.154472","0.0","0.0"
"1528652680924","35.130825","0.0","0.0"
"1528652680966","35.154472","0.0","0.0"
"1528652681029","35.130825","0.0","0.0"
"1528652681112","35.178127","0.0","0.0"
"1528652681175","35.130825","0.0","0.0"
"1528652681237","35.154472","0.0","0.0"
"1528652681510","35.178127","0.0","0.0"
"1528652681717","35.154472","0.0","0.0"
"1528652681901","35.130825","0.0","0.0"
"1528652681943","35.154472","0.0","0.0"
"1528652682233","35.130825","0.0","0.0"
"1528652682316","35.178127","0.0","0.0"
"1528652682379","35.130825","0.0","0.0"
"1528652682504","35.154472","35.130825","0.0"
"1528652682710","35.130825","35.130825","0.0"
"1528652682793","35.178127","35.130825","0.0"
"1528652682881","35.130825","35.131298","0.004612854"
"1528652682943","35.154472","35.131294","4.635951E-4"
"1528652683047","35.130825","35.131527","0.0022606838"
"1528652683110","35.154472","35.13152","2.3618621E-4"
"1528652683317","35.130825","35.13175","0.0022385388"
"1528652683380","35.154472","35.13174","2.4133692E-4"
"1528652683508","35.130825","35.13197","0.0022167515"
"1528652683571","35.154472","35.131958","2.4818286E-4"
"1528652683635","35.130825","35.132183","0.0021957178"
"1528652683719","35.154472","35.132168","2.563331E-4"
"1528652683782","35.178127","35.13239","0.0021754373"
"1528652683922","35.154472","35.132847","0.004465597"
"1528652683986","35.178127","35.133064","0.0021555403"
"1528652684203","35.130825","35.133514","0.00439982"
"1528652684224","35.154472","35.133488","5.122265E-4"
"1528652684374","35.178127","35.133698","0.002047041"
"1528652684441","35.154472","35.13414","0.004337745"
"1528652684863","35.130825","35.134342","0.0020297875"
"1528652685124","35.178127","35.134308","3.9861997E-4"
"1528652685147","35.154472","35.134747","0.0042733513"
"1528652685168","35.130825","35.134945","0.001970423"
"1528652685170","35.154472","35.134903","4.4741502E-4"
"1528652685298","35.130825","35.135098","0.0019090197"
"1528652685407","35.154472","35.135056","4.5836577E-4"
"1528652685512","35.130825","35.13525","0.0018940195"
"1528652685575","35.178127","35.135204","4.7112347E-4"
"1528652685721","35.130825","35.135635","0.004185878"
"1528652685783","35.178127","35.135586","6.285943E-4"
"1528652685912","35.154472","35.136013","0.004148889"
"1528652686310","35.178127","35.136196","0.0018474647"
"1528652686371","35.130825","35.136616","0.0040932135"
"1528652686453","35.154472","35.13656","6.975023E-4"
