"System Time Index","EDA Data","EDA Data Average","EDA Data Standard Deviation","EDA Data Derivation","EDA Data Derivation Average","EDA Data Derivation Standard Deviation","EDA Data Second Derviation","EDA Data Second Derivation Average","EDA Data Second Derivation Standard Deviation"
"1529863319015","1.783799","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319069","1.7820771","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319142","1.7803564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319351","1.7769189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319947","1.7752019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319994","1.7769189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320269","1.7752019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320323","1.7769189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320408","1.7752019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321674","1.7734863","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321738","1.7717718","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322426","1.7734863","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322557","1.7752019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322691","1.7769189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322863","1.778637","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322950","1.7803564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323125","1.7820771","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323274","1.783799","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323339","1.7820771","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323403","1.783799","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323468","1.7855222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323755","1.7872466","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323798","1.7889723","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323862","1.7906992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863324013","1.7924274","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863324077","1.7941569","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863324273","1.7958876","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863324401","1.7976196","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863324467","1.7958876","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863324553","1.7993528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863324652","1.802823","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863324738","1.8062983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863325077","1.802823","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863325146","1.80456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863325274","1.8062983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863325337","1.80456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863325401","1.802823","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863325798","1.8010873","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863325924","1.7993528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863326008","1.8010873","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863326072","1.7993528","1.8010873","0.0","0.0","1.8010873","0.0","0.0","1.8010873","0.0"
"1529863326139","1.7976196","1.8010873","0.0","2.0510231E-7","0.0","0.0","-7.1852635E-9","0.0","0.0"
"1529863326333","1.7941569","1.8010526","3.3816232E-4","-1.3775366E-6","2.0510231E-9","2.0001314E-8","-8.011894E-9","-7.1852635E-11","7.0069767E-10"
"1529863326875","1.7906992","1.8009837","6.7331106E-4","-5.8193955E-6","-1.1744853E-8","1.3455049E-7","-1.0112942E-8","-1.5125305E-10","7.7746665E-10"
"1529863327380","1.7924274","1.8008808","0.0010051782","-1.4117038E-5","-6.982136E-8","5.665145E-7","-1.2978533E-8","-2.5086994E-10","9.745572E-10"
"1529863327425","1.7906992","1.8007963","8.304688E-4","-1.7563936E-5","-2.1029352E-7","1.3710375E-6","-1.3066259E-8","-3.7814657E-10","1.2450055E-9"
"1529863328128","1.7889723","1.8006953","9.88145E-4","-1.6834063E-5","-3.8382996E-7","1.6978497E-6","-1.2496576E-8","-5.050277E-10","1.2435764E-9"
"1529863328280","1.7872466","1.8005781","0.0011474832","-1.9956116E-5","-5.483323E-7","1.6131654E-6","-1.1845645E-8","-6.2494315E-10","1.1759942E-9"
