"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1529863320322","42.959427","0.0","0.0"
"1529863321639","46.153847","0.0","0.0"
"1529863322862","48.913044","0.0","0.0"
"1529863323537","88.23529","0.0","0.0"
"1529863324099","104.04624","0.0","0.0"
"1529863324782","90.0","104.04624","0.0"
"1529863325443","90.45226","104.04624","0.0"
"1529863326141","85.30806","103.9103","1.3256674"
"1529863326832","91.83673","103.72428","1.8189044"
"1529863327492","86.124405","103.60541","1.1734416"
"1529863328128","93.26425","103.430595","1.7087587"
"1529863328756","100.55866","103.32893","1.006027"
"1529863329484","80.0","103.30123","0.28827718"
"1529863330188","87.37864","103.06822","2.2724893"
"1529863330767","100.55866","102.91132","1.5468119"
"1529863331673","75.313805","102.887794","0.27670127"
"1529863332257","84.90566","102.61205","2.6891224"
"1529863333008","81.818184","102.43499","1.747519"
"1529863333714","86.95652","102.22882","2.0181048"
"1529863334395","86.124405","102.076096","1.5029458"
"1529863335140","81.44797","101.91658","1.5628321"
"1529863335891","80.71749","101.71189","2.0021813"
"1529863336660","85.71429","101.501945","2.0571136"
"1529863337226","91.37056","101.34407","1.5532746"
"1529863337964","82.56881","101.24434","0.9849294"
"1529863338714","79.64602","101.05759","1.8238753"
"1529863340186","80.71749","100.84347","2.095979"
"1529863340882","88.23529","100.642204","1.9738191"
"1529863341540","91.83673","100.518135","1.2259009"
"1529863342287","77.92208","100.43132","0.855429"
"1529863343777","82.75862","100.20623","2.1967385"
"1529863344418","90.90909","100.03175","1.7155907"
"1529863345161","80.71749","99.94053","0.90602183"
"1529863345897","82.94931","99.7483","1.8767942"
"1529863347326","83.72093","99.58031","1.6489311"
"1529863348055","81.818184","99.421715","1.5553515"
"1529863348759","84.90566","99.24568","1.7237055"
"1529863349527","78.26087","99.10228","1.4090034"
"1529863350215","86.95652","98.89387","2.0373058"
"1529863350901","86.124405","98.77449","1.1818074"
"1529863351672","83.333336","98.64799","1.2392678"
"1529863352398","79.64602","98.49484","1.4985982"
"1529863353722","91.37056","98.30635","1.8442116"
"1529863354608","71.14625","98.23699","0.7010611"
"1529863355314","77.92208","97.96609","2.642785"
"1529863356048","83.333336","97.76565","1.9724507"
"1529863357007","62.068966","97.62132","1.4211748"
"1529863358619","75.94936","97.2658","3.469932"
"1529863359350","78.60262","97.052635","2.1075132"
"1529863360274","64.51613","96.86813","1.8115225"
"1529863360973","84.50704","96.54462","3.1601229"
"1529863362108","53.892216","96.42424","1.2156804"
"1529863362897","74.6888","95.99892","4.1494493"
"1529863363743","73.17073","95.78581","2.1191568"
"1529863365737","59.30807","95.55966","2.2155519"
"1529863366725","62.283737","95.19714","3.5421443"
"1529863368384","71.71315","94.86801","3.2291596"
"1529863371470","77.92208","94.63646","2.281005"
"1529863372270","75.0","94.469315","1.6458477"
"1529863373771","80.71749","94.27462","1.9057428"
"1529863375286","78.947365","94.139046","1.3357384"
"1529863378010","65.85366","93.98713","1.4874828"
"1529863379172","51.57593","93.705795","2.7475693"
"1529863379991","74.6888","93.2845","4.1176276"
"1529863381731","70.3125","93.09854","1.8595895"
"1529863382655","65.93407","92.87068","2.2298334"
"1529863383859","47.87234","92.60132","2.6362717"
"1529863385385","78.60262","92.15403","4.369872"
"1529863387527","55.987556","92.01852","1.3918916"
"1529863389471","61.53846","91.6582","3.5164485"
"1529863391767","52.863438","91.357","2.9582129"
"1529863393733","62.93706","90.97207","3.7654815"
"1529863394906","48.257374","90.69172","2.7597475"
"1529863397225","51.79856","90.26737","4.147335"
"1529863398823","37.97468","89.88268","3.7742846"
"1529863400300","40.268456","89.3636","5.0760527"
"1529863401821","39.7351","88.87265","4.8145294"
"1529863403970","55.384617","88.38127","4.8159566"
"1529863404828","70.03891","88.05131","3.2536316"
"1529863405705","74.6888","87.871185","1.7864254"
"1529863407730","57.233704","87.739365","1.297883"
"1529863410412","66.74907","87.43431","2.977703"
"1529863412916","48.12834","87.227455","2.0390573"
"1529863414912","60.301506","86.836464","3.8183439"
"1529863417188","53.412464","86.57111","2.615675"
"1529863418686","41.958042","86.239525","3.2441506"
"1529863420102","39.473682","85.79671","4.330442"
"1529863422184","58.252426","85.33347","4.5380707"
"1529863423722","41.37931","85.06266","2.6796157"
"1529863425020","43.47826","84.625824","4.2683635"
"1529863426460","41.002277","84.21435","4.0352955"
"1529863427943","40.723984","83.78223","4.2332625"
"1529863429424","40.54054","83.35165","4.22027"
"1529863430696","48.0","82.92354","4.1961613"
"1529863432376","70.03891","82.5743","3.4314518"
"1529863433191","74.6888","82.44895","1.2696841"
"1529863435456","52.941177","82.37135","0.76733804"
"1529863436898","41.474655","82.07705","2.8710184"
"1529863438567","36.960987","81.67103","3.969889"
"1529863439956","42.35294","81.22393","4.378102"
"1529863441462","39.7351","80.83522","3.8158484"
"1529863442876","42.25352","80.42422","4.0261545"
"1529863444395","39.473682","80.04251","3.744068"
"1529863445848","41.18993","79.636826","3.9738975"
"1529863447301","41.57044","79.25236","3.770293"
"1529863448687","44.77612","78.87554","3.693984"
"1529863449489","71.42857","78.534546","3.3457863"
"1529863450880","43.26923","78.463486","0.7695088"
"1529863451954","56.25","78.11154","3.4329612"
"1529863454493","71.052635","77.89293","2.159373"
"1529863458235","64.0","77.824524","0.7011371"
"1529863459841","37.037037","77.68628","1.3499719"
"1529863461144","46.511627","77.279785","3.9663599"
"1529863462633","40.632053","76.97211","3.0265741"
"1529863464942","51.355206","76.6087","3.5567358"
"1529863466175","49.18033","76.35617","2.4882405"
"1529863467199","58.44156","76.08441","2.6618087"
"1529863468692","40.816326","75.90798","1.740977"
"1529863470185","39.473682","75.55707","3.4265192"
"1529863472474","53.019146","75.196236","3.5354495"
"1529863474224","68.44106","74.974464","2.1913888"
"1529863475449","48.387096","74.909134","0.67376226"
"1529863477777","51.57593","74.64391","2.5872724"
"1529863479308","39.30131","74.41323","2.2643893"
"1529863480887","38.46154","74.06211","3.4315486"
"1529863482427","38.70968","73.70611","3.4886403"
"1529863485470","39.7351","73.35614","3.430591"
"1529863487034","38.793102","73.01993","3.2965794"
"1529863487877","71.42857","72.67766","3.353996"
"1529863488630","83.333336","72.66517","0.35683385"
"1529863489352","78.947365","72.77185","1.0409578"
"1529863490143","75.63025","72.8336","0.61115885"
"1529863490872","82.94931","72.86157","0.279489"
"1529863491702","78.60262","72.96245","0.9841404"
"1529863493910","53.097343","73.01885","0.5587575"
"1529863494858","62.283737","72.81963","1.943523"
"1529863496219","44.554455","72.71427","1.0456672"
"1529863497679","41.474655","72.43267","2.748099"
"1529863499209","76.43312","72.12309","3.031468"
"1529863500061","72.289154","72.16619","0.51822513"
"1529863500787","81.818184","72.16742","0.05319177"
