"System Time Index","EDA Data","EDA Data Average","EDA Data Standard Deviation","EDA Data Derivation","EDA Data Derivation Average","EDA Data Derivation Standard Deviation","EDA Data Second Derviation","EDA Data Second Derivation Average","EDA Data Second Derivation Standard Deviation"
"1529863319588","3.798147","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319664","3.794654","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319693","3.7841969","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319770","3.7807183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319846","3.7772434","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319898","3.773772","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863319968","3.7633793","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320037","3.7599223","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320087","3.7530189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320159","3.7495723","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320297","3.7392542","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320364","3.732393","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320500","3.725546","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320699","3.7187128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320767","3.7153015","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320834","3.7084892","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863320903","3.701691","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321016","3.6982968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321106","3.6949062","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321154","3.6915193","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321289","3.6813786","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321355","3.6847553","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321422","3.6780052","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321573","3.6746354","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321896","3.671269","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863321961","3.6746354","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322025","3.671269","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322091","3.6679058","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322159","3.671269","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322225","3.6645463","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322492","3.657837","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322685","3.6544876","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322756","3.6511414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322825","3.6477988","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863322961","3.6444595","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323094","3.6477988","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323160","3.6411235","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323225","3.6444595","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323359","3.6477988","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323425","3.6511414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1529863323500","3.6544876","3.6511414","0.0","0.0","3.6511414","0.0","0.0","3.6511414","0.0"
"1529863323574","3.657837","3.6511414","0.0","-1.1553413E-5","0.0","0.0","-1.6786956E-9","0.0","0.0"
"1529863323639","3.6645463","3.6512084","6.5293344E-4","-2.0865623E-6","-1.1553413E-7","1.1266741E-6","6.4974857E-9","-1.6786956E-11","1.6370424E-10"
"1529863323775","3.671269","3.6513417","0.001302338","8.732144E-6","-1.352444E-7","2.2279913E-7","1.5030508E-8","4.835577E-11","6.354744E-10"
"1529863323823","3.6746354","3.651541","0.0019476358","1.9493606E-5","-4.657052E-8","8.6502337E-7","2.1145452E-8","1.981773E-10","1.4624216E-9"
"1529863323894","3.6780052","3.651772","0.0022605355","2.4993162E-5","1.4883125E-7","1.9074953E-6","2.4277437E-8","4.0765002E-10","2.0479796E-9"
"1529863324031","3.6847553","3.6520343","0.0025682028","2.8067841E-5","3.9727456E-7","2.4302847E-6","2.4353273E-8","6.463479E-10","2.3367428E-9"
"1529863324499","3.6813786","3.6523614","0.0032012423","3.327589E-5","6.7398025E-7","2.7093201E-6","2.5131168E-8","8.834172E-10","2.3236484E-9"
"1529863324613","3.6746354","3.6526515","0.002847773","2.9212919E-5","9.999993E-7","3.1908196E-6","1.2487237E-8","1.1258947E-9","2.3759992E-9"
"1529863324703","3.6780052","3.6528714","0.0021626712","1.8050201E-5","1.2821286E-6","2.7697288E-6","2.436189E-9","1.2395082E-9","1.133134E-9"
"1529863324753","3.6746354","3.6531227","0.002460548","1.3428641E-5","1.4498092E-6","1.6584921E-6","-1.8659378E-9","1.2514749E-9","1.626608E-10"
"1529863324905","3.671269","3.6533377","0.002112283","9.541748E-6","1.5695975E-6","1.1798747E-6","-5.0574624E-9","1.2203007E-9","3.0444094E-10"
"1529863324951","3.6679058","3.653517","0.0017613436","4.326526E-6","1.6493191E-6","7.8633616E-7","-9.699664E-9","1.1575231E-9","6.129559E-10"
