"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1529862008235","45.34005","0.0","0.0"
"1529862009243","59.800663","0.0","0.0"
"1529862010225","60.402683","0.0","0.0"
"1529862011252","58.631924","0.0","0.0"
"1529862012231","61.43345","0.0","0.0"
"1529862013243","59.210526","61.43345","0.0"
"1529862014197","63.60424","61.43345","0.0"
"1529862015204","59.40594","61.45516","0.21169266"
"1529862016178","61.22449","61.434666","0.20095514"
"1529862017191","59.800663","61.432564","0.028703887"
"1529862018150","62.283737","61.416245","0.15916674"
"1529862019138","60.81081","61.42492","0.086081125"
"1529862020127","60.60606","61.418777","0.06050257"
"1529862021037","66.666664","61.410652","0.079485945"
"1529862022017","61.643837","61.46321","0.5126213"
"1529862023010","61.22449","61.46502","0.054203935"
"1529862023950","62.068966","61.462612","0.02407397"
"1529862024886","64.28571","61.468678","0.05917965"
"1529862025828","63.380283","61.49685","0.27477732"
"1529862026808","61.22449","61.515682","0.18571423"
"1529862027733","64.98195","61.51277","0.033930384"
"1529862028704","61.643837","61.547462","0.3383268"
"1529862029665","63.157894","61.548428","0.03511376"
"1529862030620","61.85567","61.56452","0.15699244"
"1529862031672","64.05694","61.567432","0.03244387"
"1529862032531","61.85567","61.592327","0.24279512"
"1529862033497","62.5","61.59496","0.03534137"
"1529862035303","66.54344","61.60401","0.08832896"
"1529862036174","68.70229","61.653404","0.48176804"
"1529862037112","64.51613","61.723892","0.6890849"
"1529862038139","63.157894","61.751816","0.28087908"
"1529862039058","61.85567","61.765877","0.13996619"
"1529862040000","63.157894","61.766773","0.016510183"
"1529862040995","60.0","61.780685","0.13567027"
"1529862042040","57.507988","61.76288","0.17417933"
"1529862042998","62.068966","61.72033","0.41529685"
"1529862043956","62.93706","61.723816","0.053671386"
"1529862045096","53.57143","61.735947","0.11843598"
"1529862046085","64.05694","61.6543","0.79628116"
"1529862047008","61.22449","61.678326","0.24746351"
"1529862048025","59.210526","61.673786","0.050705876"
"1529862049986","61.22449","61.649155","0.24026765"
"1529862050960","60.81081","61.64491","0.047877967"
"1529862052047","55.727554","61.636566","0.08148086"
"1529862052986","62.283737","61.577477","0.5762969"
"1529862053969","61.85567","61.584538","0.08980413"
"1529862054942","61.43345","61.58725","0.02792396"
"1529862055932","60.81081","61.585712","0.015256267"
"1529862056887","62.068966","61.577965","0.07558302"
"1529862057854","62.283737","61.582874","0.04847473"
"1529862058865","59.40594","61.58988","0.06851904"
"1529862059803","63.82979","61.568043","0.21308534"
"1529862060782","61.643837","61.59066","0.22158945"
"1529862061800","58.631924","61.59119","0.022757687"
"1529862063643","65.335754","61.561596","0.2885927"
"1529862064646","60.0","61.59934","0.3691807"
"1529862066511","64.63196","61.583344","0.16027512"
"1529862067611","54.545456","61.61383","0.2977286"
"1529862068545","63.82979","61.543148","0.68994164"
"1529862070591","58.252426","61.566013","0.23341997"
"1529862071588","61.43345","61.53288","0.32397887"
"1529862072564","62.5","61.531883","0.033817727"
"1529862074503","61.01695","61.541565","0.09447"
"1529862075592","55.727554","61.53632","0.05202491"
"1529862076553","61.85567","61.478233","0.5664874"
"1529862077521","61.22449","61.482006","0.067556374"
"1529862078428","67.16418","61.47943","0.026005361"
"1529862079406","60.81081","61.536278","0.5543753"
"1529862080352","64.51613","61.529022","0.08987992"
"1529862081319","62.068966","61.558895","0.29143724"
"1529862083260","61.43345","61.563995","0.05765044"
"1529862084219","62.93706","61.56269","0.013975315"
