"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1529862008796","42.45283","0.0","0.0"
"1529862009826","59.01639","0.0","0.0"
"1529862010809","60.60606","0.0","0.0"
"1529862012870","57.692307","0.0","0.0"
"1529862014127","48.913044","0.0","0.0"
"1529862015312","50.0","48.913044","0.0"
"1529862016650","44.554455","48.913044","0.0"
"1529862017966","46.511627","48.869457","0.42504394"
"1529862019632","70.72691","48.84588","0.23382813"
"1529862020390","80.71749","49.06469","2.1339386"
"1529862022548","83.59133","49.381218","3.094108"
"1529862023907","88.45209","49.72332","3.3504438"
"1529862025210","46.391754","50.110607","3.791612"
"1529862026443","48.12834","50.073418","0.52467495"
"1529862027434","60.60606","50.053967","0.19680403"
"1529862028795","44.226044","50.15949","1.0292147"
"1529862031061","53.892216","50.100155","0.58770424"
"1529862032340","45.22613","50.138077","0.37443775"
"1529862033306","62.068966","50.08896","0.480468"
"1529862034666","44.444443","50.20876","1.1692625"
"1529862036049","45.34005","50.151115","0.57416064"
"1529862036890","65.69343","50.103004","0.47266912"
"1529862038408","79.64602","50.258907","1.5210929"
"1529862039921","39.473682","50.55278","2.8698273"
"1529862041010","56.962025","50.44199","1.1178843"
"1529862042384","42.45283","50.50719","0.6455777"
"1529862045481","58.189655","50.426647","0.7880994"
"1529862046606","53.412464","50.504276","0.7611298"
"1529862049801","56.36743","50.53336","0.29363862"
"1529862051958","56.692913","50.5917","0.5696884"
"1529862054546","46.035805","50.652714","0.59770346"
"1529862056088","40.909092","50.606544","0.45418507"
"1529862057622","37.113403","50.50957","0.9467733"
"1529862059343","34.88372","50.37561","1.3098035"
"1529862060657","45.801525","50.22069","1.5164165"
"1529862062433","67.28972","50.1765","0.45685253"
"1529862063555","53.731342","50.34763","1.6694846"
"1529862065871","51.79856","50.381466","0.36980477"
"1529862067314","41.474655","50.395638","0.14305568"
"1529862070315","60.13363","50.306427","0.8700803"
"1529862072870","46.936115","50.404697","0.96227795"
"1529862074371","40.17857","50.37001","0.351673"
"1529862076501","56.162247","50.268097","0.99447834"
"1529862077771","47.493404","50.327038","0.5833296"
"1529862078767","60.0","50.298702","0.28242224"
"1529862080075","47.745358","50.395714","0.94647974"
"1529862081189","51.136364","50.36921","0.2752443"
"1529862082269","56.074768","50.37688","0.07971464"
"1529862083208","64.05694","50.43386","0.55570775"
"1529862084476","47.36842","50.57009","1.3296669"
"1529862086645","55.299538","50.538074","0.33935717"
"1529862090163","51.2334","50.58569","0.46557018"
"1529862092337","55.04587","50.592167","0.0784679"
"1529862093684","44.665012","50.636703","0.43439052"
"1529862095743","58.44156","50.57699","0.5839697"
"1529862097153","44.00978","50.655632","0.7691631"
"1529862099469","51.136364","50.589172","0.652643"
"1529862101685","53.973015","50.594643","0.08430236"
"1529862103068","45.569622","50.628426","0.32956246"
"1529862105325","51.57593","50.57784","0.49442774"
"1529862107689","50.77574","50.58782","0.10917086"
"1529862109106","44.00978","50.5897","0.021331241"
"1529862110407","44.334976","50.5239","0.6416687"
"1529862111750","44.665012","50.46201","0.6069372"
"1529862113099","45.68528","50.40404","0.5685647"
"1529862115225","55.90062","50.356853","0.46366674"
"1529862116525","45.918365","50.412292","0.5426055"
"1529862118667","28.708134","50.36735","0.44158816"
"1529862121130","49.586777","50.15076","2.1126409"
"1529862122159","57.692307","50.145123","0.2183058"
"1529862123421","44.77612","50.220592","0.7363156"
"1529862125708","52.02312","50.16615","0.53601956"
"1529862126716","59.800663","50.18472","0.18885595"
"1529862128155","43.583534","50.28088","0.93792456"
"1529862130403","52.173912","50.213905","0.65981674"
"1529862132766","50.704224","50.233505","0.20220552"
"1529862133938","51.57593","50.238213","0.050160076"
"1529862135120","50.42017","50.25159","0.13054894"
"1529862136222","57.32484","50.253277","0.020992626"
"1529862138418","53.333332","50.323994","0.6896129"
"1529862139460","58.064518","50.354088","0.30146044"
"1529862140421","62.93706","50.43119","0.7525155"
"1529862141697","47.493404","50.556248","1.2218761"
"1529862146129","37.735847","50.52562","0.32271084"
"1529862148347","26.90583","50.39772","1.2476594"
"1529862150639","52.478134","50.1628","2.2942939"
"1529862152114","42.056076","50.185955","0.32189777"
"1529862153386","45.11278","50.104656","0.7934686"
"1529862155653","53.019146","50.054737","0.49322543"
"1529862156657","60.20067","50.08438","0.29326278"
"1529862157986","46.875","50.185543","0.9869633"
"1529862160006","29.752066","50.15244","0.3375895"
"1529862162173","54.711246","49.948437","1.9897048"
"1529862164396","53.49183","49.996063","0.5052874"
"1529862165776","43.583534","50.03102","0.34462693"
"1529862168061","52.785923","49.966545","0.6296943"
"1529862169052","62.93706","49.99474","0.28206077"
"1529862170015","60.402683","50.124165","1.2624336"
"1529862171008","62.93706","50.22695","1.0102665"
"1529862172062","58.631924","50.354053","1.2435839"
"1529862174521","47.244095","50.436832","0.81676996"
"1529862177106","47.182175","50.404903","0.32188648"
"1529862178930","32.31598","50.372677","0.31592056"
"1529862181868","41.09589","50.19211","1.7611493"
"1529862183801","30.612246","50.101147","0.90436554"
"1529862185550","34.482758","49.906258","1.9026831"
"1529862186765","49.45055","49.75202","1.5160667"
"1529862189710","40.770103","49.74901","0.15443088"
"1529862192079","55.384617","49.659218","0.8757473"
"1529862193808","31.19584","49.716473","0.5651598"
"1529862195751","30.664394","49.531265","1.8069922"
"1529862197503","34.482758","49.342598","1.8487254"
"1529862198787","46.875","49.194","1.4608577"
"1529862199771","60.60606","49.17081","0.2692268"
"1529862201498","34.68208","49.285164","1.1154758"
"1529862204206","44.28044","49.139133","1.4284362"
"1529862206334","56.338028","49.090546","0.49487713"
"1529862207345","59.800663","49.16302","0.70849556"
"1529862208355","59.60265","49.269398","1.0397857"
"1529862209399","57.142857","49.37273","1.0130358"
"1529862210394","60.60606","49.45043","0.7644745"
"1529862211410","58.631924","49.56199","1.0905652"
