"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1529861901643","25.899635","0.0","0.0"
"1529861901781","25.87791","0.0","0.0"
"1529861901917","25.899635","0.0","0.0"
"1529861902041","25.87791","0.0","0.0"
"1529861902104","25.899635","0.0","0.0"
"1529861902188","25.87791","0.0","0.0"
"1529861902375","25.899635","0.0","0.0"
"1529861902437","25.87791","0.0","0.0"
"1529861902520","25.899635","0.0","0.0"
"1529861902584","25.87791","0.0","0.0"
"1529861902708","25.899635","0.0","0.0"
"1529861902792","25.87791","0.0","0.0"
"1529861902854","25.899635","0.0","0.0"
"1529861902925","25.87791","0.0","0.0"
"1529861903318","25.899635","0.0","0.0"
"1529861904391","25.921362","0.0","0.0"
"1529861904457","25.899635","0.0","0.0"
"1529861904520","25.921362","0.0","0.0"
"1529861904584","25.899635","0.0","0.0"
"1529861904647","25.87791","0.0","0.0"
"1529861904712","25.899635","0.0","0.0"
"1529861904877","25.87791","0.0","0.0"
"1529861904922","25.899635","0.0","0.0"
"1529861904986","25.921362","0.0","0.0"
"1529861905508","25.943092","0.0","0.0"
"1529861905591","25.921362","25.943092","0.0"
"1529861905722","25.943092","25.943092","0.0"
"1529861905952","25.964827","25.943092","0.0"
"1529861906320","25.986563","25.94331","0.0021194855"
"1529861906512","26.0083","25.943743","0.0042232503"
"1529861906576","25.964827","25.944387","0.006309854"
"1529861906660","26.0083","25.944592","0.0020907193"
"1529861906704","25.986563","25.945229","0.006216366"
"1529861906790","26.0083","25.945642","0.0040784525"
"1529861906928","26.030045","25.94627","0.006123862"
"1529861906991","26.0083","25.947107","0.008192549"
"1529861907053","26.030045","25.94772","0.0060234503"
"1529861907183","26.0083","25.948544","0.00805072"
"1529861907311","26.030045","25.94914","0.0058828527"
"1529861907523","26.05179","25.94995","0.007911589"
"1529861907651","26.073538","25.950968","0.009962853"
"1529861907844","26.05179","25.952194","0.011994251"
"1529861907953","26.073538","25.95319","0.009786288"
"1529861908109","26.09529","25.954393","0.011776906"
"1529861908857","26.138802","25.955803","0.013790305"
"1529861908921","26.117044","25.957632","0.01789908"
"1529861908997","26.160563","25.959227","0.015648356"
"1529861909113","26.182327","25.96124","0.0196962"
"1529861909115","26.160563","25.963451","0.021649877"
"1529861909264","26.138802","25.965422","0.019343643"
"1529861909311","26.182327","25.967155","0.01701808"
"1529861909397","26.160563","25.969307","0.0210522"
"1529861909440","26.182327","25.97122","0.018769383"
"1529861909713","26.225864","25.973331","0.020672258"
"1529861909798","26.204094","25.975857","0.024713302"
"1529861909926","26.225864","25.97814","0.022394104"
"1529861910378","26.247639","25.980618","0.024261314"
"1529861910463","26.269415","25.983288","0.026152333"
"1529861910924","26.291195","25.986149","0.028025063"
"1529861910987","26.312977","25.989199","0.029879482"
"1529861911251","26.334763","25.992437","0.031715404"
"1529861911315","26.312977","25.995861","0.03353339"
"1529861911460","26.334763","25.999033","0.03110593"
"1529861911524","26.356552","26.00239","0.03288739"
"1529861911715","26.378344","26.005932","0.03469364"
"1529861911922","26.356552","26.009657","0.03648236"
"1529861912054","26.378344","26.013126","0.03402488"
"1529861912201","26.400139","26.016779","0.035777632"
"1529861912327","26.421938","26.020613","0.037555557"
"1529861912393","26.400139","26.024626","0.03931652"
"1529861912519","26.443739","26.028381","0.036829967"
"1529861912583","26.400139","26.032536","0.040672176"
"1529861912794","26.421938","26.036211","0.03607825"
"1529861912860","26.400139","26.040068","0.03778828"
"1529861912925","26.421938","26.043669","0.035316393"
"1529861913013","26.443739","26.047451","0.03705704"
"1529861913392","26.465546","26.051414","0.038822696"
"1529861913517","26.443739","26.055555","0.040571757"
"1529861913580","26.487352","26.059437","0.038072"
"1529861913665","26.465546","26.063717","0.041903"
"1529861913710","26.487352","26.067736","0.039409183"
"1529861913961","26.509165","26.071932","0.04110981"
"1529861913985","26.53098","26.076303","0.04283619"
"1529861914132","26.509165","26.08085","0.044545792"
"1529861914175","26.53098","26.085135","0.042005446"
"1529861914732","26.552797","26.089594","0.04368055"
"1529861914776","26.574617","26.094227","0.04538162"
"1529861915187","26.596443","26.099031","0.047066297"
"1529861915251","26.61827","26.104006","0.048734736"
"1529861915589","26.6401","26.109148","0.050386753"
"1529861915654","26.661936","26.114458","0.052022338"
"1529861915899","26.683773","26.119932","0.053642247"
"1529861915966","26.661936","26.12557","0.055246107"
