"System Time Index","Temperature Data","Temperature Data Average","Temperature Data Standard Deviation"
"1529861902346","25.85619","0.0","0.0"
"1529861902478","25.87791","0.0","0.0"
"1529861902609","25.85619","0.0","0.0"
"1529861902904","25.87791","0.0","0.0"
"1529861902945","25.85619","0.0","0.0"
"1529861903008","25.87791","0.0","0.0"
"1529861903132","25.85619","0.0","0.0"
"1529861903214","25.899635","0.0","0.0"
"1529861903277","25.87791","0.0","0.0"
"1529861903339","25.85619","0.0","0.0"
"1529861903401","25.87791","0.0","0.0"
"1529861903675","25.85619","0.0","0.0"
"1529861903823","25.899635","0.0","0.0"
"1529861903919","25.87791","0.0","0.0"
"1529861904147","25.899635","0.0","0.0"
"1529861904209","25.87791","0.0","0.0"
"1529861904354","25.921362","0.0","0.0"
"1529861904479","25.899635","0.0","0.0"
"1529861904669","25.921362","0.0","0.0"
"1529861904758","25.964827","0.0","0.0"
"1529861904856","25.921362","0.0","0.0"
"1529861904898","25.943092","0.0","0.0"
"1529861905090","25.986563","0.0","0.0"
"1529861905414","26.0083","0.0","0.0"
"1529861905630","25.986563","0.0","0.0"
"1529861905672","26.030045","25.986563","0.0"
"1529861905734","26.073538","25.986563","0.0"
"1529861905848","26.05179","25.987432","0.0084817"
"1529861905911","26.030045","25.988075","0.006333217"
"1529861905952","26.073538","25.988495","0.00414151"
"1529861906024","26.030045","25.989346","0.00830359"
"1529861906086","26.05179","25.989752","0.0040549166"
"1529861906210","26.073538","25.990372","0.0060635298"
"1529861906357","26.05179","25.991203","0.0081328945"
"1529861906420","26.073538","25.99181","0.0059640068"
"1529861906545","26.09529","25.992626","0.007992383"
"1529861906607","26.073538","25.993652","0.010043466"
"1529861906948","26.117044","25.994452","0.007854773"
"1529861907010","26.073538","25.995678","0.011980833"
"1529861907343","26.09529","25.996456","0.0076867775"
"1529861907550","26.073538","25.997444","0.009668712"
"1529861907612","26.09529","25.998205","0.007483273"
"1529861907673","26.073538","25.999176","0.00949704"
"1529861907834","26.09529","25.99992","0.007313567"
"1529861907896","26.073538","26.000874","0.00932901"
"1529861907959","26.09529","26.0016","0.007147265"
"1529861908001","26.117044","26.002537","0.009164379"
"1529861908084","26.09529","26.003681","0.01120425"
"1529861908146","26.117044","26.004597","0.0090035405"
"1529861908354","26.138802","26.005722","0.011002575"
"1529861908416","26.117044","26.007053","0.013024249"
"1529861908560","26.138802","26.008154","0.010804911"
"1529861908622","26.117044","26.00946","0.012786321"
"1529861908746","26.138802","26.010536","0.010569092"
"1529861908809","26.117044","26.011818","0.012552938"
"1529861908954","26.138802","26.01287","0.010337992"
"1529861909101","26.117044","26.01413","0.01232409"
"1529861909349","26.138802","26.01516","0.010111425"
"1529861909411","26.117044","26.016396","0.012099775"
"1529861909494","26.138802","26.017403","0.009889391"
"1529861909618","26.117044","26.018616","0.011879991"
"1529861909825","26.138802","26.0196","0.009671891"
"1529861909887","26.117044","26.020792","0.011664553"
"1529861910279","26.138802","26.021755","0.009458548"
"1529861910342","26.117044","26.022926","0.01145327"
"1529861910487","26.138802","26.023867","0.009249547"
"1529861911145","26.160563","26.025017","0.01124633"
"1529861911289","26.117044","26.026373","0.013265938"
"1529861911351","26.160563","26.027279","0.008941203"
"1529861911413","26.138802","26.028612","0.0130283255"
"1529861911496","26.117044","26.029715","0.010824171"
"1529861911558","26.138802","26.030588","0.0085847825"
"1529861911620","26.160563","26.03167","0.010587761"
"1529861911682","26.117044","26.032959","0.012613941"
"1529861911745","26.138802","26.0338","0.008296332"
"1529861912027","26.160563","26.034851","0.010273069"
"1529861912151","26.138802","26.036108","0.012302204"
"1529861912234","26.160563","26.037134","0.0100899"
"1529861912549","26.182327","26.038368","0.012078812"
"1529861912611","26.160563","26.039808","0.014090524"
"1529861912755","26.204094","26.041016","0.011859819"
"1529861912844","26.182327","26.042646","0.01594735"
"1529861912945","26.160563","26.044043","0.013714594"
"1529861913280","26.182327","26.045208","0.011445321"
"1529861913344","26.204094","26.04658","0.013420572"
"1529861913406","26.182327","26.048155","0.015419104"
"1529861913489","26.204094","26.049496","0.013174947"
"1529861913552","26.160563","26.051043","0.015133593"
"1529861913961","26.182327","26.052137","0.010786969"
"1529861914045","26.160563","26.05344","0.012741614"
"1529861914277","26.204094","26.054512","0.0105237905"
"1529861914360","26.182327","26.056007","0.014624993"
"1529861914484","26.204094","26.05727","0.012405118"
"1529861914546","26.182327","26.058739","0.014371674"
"1529861914629","26.204094","26.059975","0.012137576"
"1529861914754","26.182327","26.061417","0.014106565"
"1529861914932","26.204094","26.062626","0.01187512"
"1529861914974","26.182327","26.064041","0.013846742"
"1529861915229","26.204094","26.065224","0.011617953"
"1529861915708","26.225864","26.066612","0.013592206"
"1529861915849","26.204094","26.068205","0.0155894235"
"1529861915962","26.225864","26.069563","0.013343193"
"1529861916088","26.204094","26.071125","0.015300701"
"1529861916214","26.225864","26.072454","0.013056943"
"1529861916298","26.204094","26.073988","0.015017271"
"1529861916341","26.225864","26.075289","0.012776355"
"1529861916424","26.204094","26.076794","0.014739506"
"1529861916487","26.247639","26.078066","0.012501433"
"1529861916760","26.225864","26.079762","0.016583722"
"1529861916932","26.247639","26.081223","0.0143439565"
"1529861917017","26.269415","26.082886","0.016292052"
"1529861917100","26.247639","26.084751","0.01826289"
"1529861917271","26.269415","26.08638","0.01598923"
"1529861917357","26.247639","26.088211","0.01792073"
"1529861917756","26.269415","26.089806","0.015650095"
"1529861918029","26.291195","26.091602","0.017584985"
"1529861918155","26.312977","26.093597","0.019543372"
"1529861918217","26.291195","26.09579","0.021482715"
"1529861918280","26.312977","26.097744","0.019176355"
"1529861918427","26.291195","26.099895","0.021076731"
"1529861918746","26.334763","26.101809","0.018773954"
"1529861918985","26.356552","26.104137","0.022794887"
"1529861919028","26.334763","26.10666","0.02472055"
"1529861919223","26.356552","26.108942","0.022381114"
"1529861919288","26.312977","26.111418","0.024250155"
"1529861919380","26.356552","26.113434","0.019804763"
"1529861919423","26.334763","26.115866","0.023791092"
"1529861919486","26.356552","26.118055","0.021478646"
"1529861919549","26.334763","26.12044","0.023356944"
"1529861919634","26.356552","26.122583","0.021030553"
"1529861919698","26.334763","26.124924","0.022912987"
"1529861919838","26.356552","26.127022","0.020591129"
"1529861919923","26.334763","26.129316","0.02247809"
"1529861920093","26.356552","26.13137","0.02016058"
"1529861920225","26.334763","26.133623","0.022051696"
"1529861920287","26.356552","26.135635","0.019738344"
"1529861920351","26.378344","26.137844","0.021633796"
"1529861920436","26.356552","26.14025","0.023552753"
"1529861920499","26.378344","26.142412","0.021224674"
"1529861920565","26.356552","26.144772","0.02310541"
"1529861920692","26.378344","26.146889","0.020781478"
"1529861921220","26.400139","26.149202","0.02266674"
"1529861921368","26.378344","26.151712","0.024575692"
"1529861921496","26.400139","26.153978","0.022237036"
"1529861921559","26.378344","26.15644","0.024107955"
"1529861921970","26.400139","26.158659","0.021773633"
"1529861922013","26.378344","26.161074","0.023649264"
"1529861922077","26.400139","26.163246","0.021319479"
"1529861922225","26.421938","26.165615","0.023199638"
"1529861922353","26.400139","26.168179","0.025103683"
"1529861922567","26.421938","26.170498","0.022759369"
"1529861922824","26.443739","26.173012","0.02462556"
"1529861922928","26.421938","26.175718","0.026515637"
"1529861923288","26.465546","26.17818","0.024156969"
"1529861923354","26.443739","26.181055","0.028127318"
"1529861923501","26.421938","26.183681","0.025770593"
"1529861923564","26.443739","26.186064","0.023376973"
"1529861923694","26.465546","26.18864","0.02523665"
"1529861924291","26.487352","26.19141","0.027121056"
"1529861924354","26.465546","26.19437","0.028986992"
"1529861924418","26.487352","26.197083","0.026603023"
"1529861924504","26.465546","26.199986","0.028431451"
"1529861924567","26.487352","26.20264","0.026052743"
"1529861924631","26.509165","26.205488","0.027886642"
"1529861924694","26.487352","26.208525","0.02974519"
"1529861925089","26.509165","26.211313","0.027353104"
"1529861925152","26.487352","26.214293","0.029174538"
"1529861925298","26.509165","26.217024","0.026787719"
"1529861925360","26.487352","26.219946","0.02861481"
"1529861925423","26.509165","26.22262","0.02623366"
"1529861925486","26.53098","26.225485","0.028066413"
"1529861925548","26.509165","26.22854","0.029923266"
"1529861926364","26.53098","26.231346","0.027529294"
"1529861926407","26.509165","26.234343","0.029349213"
"1529861926492","26.53098","26.237091","0.026960509"
"1529861926555","26.552797","26.24003","0.028786087"
"1529861926618","26.509165","26.243158","0.030636141"
"1529861926701","26.53098","26.24582","0.026120825"
"1529861926894","26.552797","26.24867","0.027930863"
